,Unnamed: 0,url,emotion,headline,source,yr,sentiment,rel
6048,2078999,https://www.motherjones.com/kevin-drum/2013/05/debt-doesnt-cause-low-growth-low-growth-causes-low-growth/,neutral,Debt ... Growth.,motherjones,2013,0,1
6049,2079578,https://www.motherjones.com/kevin-drum/2013/07/healthcare-watch-cost-growth-decreasing-employment-growth-remains-steads/,neutral,Healthcare ... Steady,motherjones,2013,0,1
6045,2066051,https://www.motherjones.com/kevin-drum/2016/01/yep-economy-really-starting-deliver-higher-earnings/,neutral,"Yep, ... Earnings",motherjones,2016,0,1
6046,2068615,https://www.motherjones.com/kevin-drum/2016/07/raw-data-retirement-income-replacement-rates-us-vs-other-rich-countries/,neutral,Raw ... Countries,motherjones,2016,0,1
6047,2068929,https://www.motherjones.com/kevin-drum/2016/07/seattle-minimum-wage-experiment-mixed-results-so-far/,neutral,The ... Far,motherjones,2016,0,1
563596,11714771,https://www.newyorker.com/books/double-take/taxes-taxes-taxes,neutral,"Taxes, ... Taxes",thenewyorker,2010,0,1
563595,11686227,https://www.newyorker.com/business/currency/wild-week-stock-markets-global-economy,surprise,A ... Markets,thenewyorker,2014,0,1
6137,3740877,https://www.thenation.com/article/archive/regional-banks-can-solve-credit-crisis/,neutral,Regional ... Crisis,thenation,2008,0,1
6142,3781524,https://www.thenation.com/article/archive/briefing-dean-baker-boosting-economy-saving-healthcare/,neutral,Briefing: ... Healthcare,thenation,2010,0,1
6141,3776304,https://www.thenation.com/article/archive/progressives-want-stronger-focus-protecting-safety-net/,neutral,Progressives ... Net,thenation,2012,0,1
6139,3754403,https://www.thenation.com/article/archive/support-raising-minimum-wage-grows-call-congress-get-board/,neutral,As ... Board,thenation,2014,0,1
6140,3754510,https://www.thenation.com/article/archive/cbo-report-will-minimum-wage-hike-really-cost-jobs/,neutral,Will ... Jobs?,thenation,2014,0,1
6138,3751849,https://www.thenation.com/article/archive/higher-minimum-wage-could-pump-59-billion-las-economy/,neutral,A ... Economy,thenation,2015,0,1
564179,15128251,https://slate.com/technology/2010/01/ipad-apple-ipad-ipad-tablet-computer-apple-tablet-ipad-video.html,neutral,Slate ... Computing,slate,2010,0,1
564180,15129252,https://slate.com/business/2010/03/here-s-a-surprise-aig-might-pay-back-170-billion-of-its-182-billion-bailout.html,neutral,It’s ... Time,slate,2010,0,1
564178,15123828,https://slate.com/business/2012/12/dividend-taxes-vs-capital-gains-taxes.html,neutral,Dividend ... Taxes,slate,2012,0,1
564176,15041548,https://slate.com/business/2014/04/amazon-stock-shares-fall-9-percent-after-mixed-first-quarter-earnings-report.html,fear,Slowdown ... Street,slate,2014,-1,1
564177,15046318,https://slate.com/business/2014/08/dollar-drama-family-dollar-rejects-bid-from-dollar-general-dollar-tree-stock-tanks.html,neutral,Dollar ... Stores,slate,2014,0,1
564175,15017349,https://slate.com/technology/2018/10/facebook-earnings-call-massive-data-breach-user-growth-revenue-earnings.html,neutral,Even ... Away,slate,2018,0,1
564242,16914511,https://www.vox.com/2014/1/23/11622656/no-ceo-but-microsoft-q3-earnings-bust-a-move-on-earnings-expectations,neutral,No ... Expectations,vox,2014,0,1
564243,16915021,https://www.vox.com/2014/2/20/11623740/hp-q1-results-beat-expectations-outlook-improves,joy,HP ... Improves,vox,2014,1,1
564244,16915023,https://www.vox.com/2014/2/20/11623746/groupon-crushes-q4-estimates-but-mixed-forecast-drags-down-stock,sadness,Groupon ... Stock,vox,2014,-1,1
564245,16915111,https://www.vox.com/2014/2/24/11623888/musks-solarcity-delays-full-earnings-results-but-revenue-jumps-87,sadness,Musk's ... Percent,vox,2014,-1,1
564246,16916391,https://www.vox.com/2014/4/23/11625976/apple-earnings-ahead-of-estimates-but-sees-sales-dip-ahead,sadness,Apple ... Ahead,vox,2014,-1,1
564247,16916393,https://www.vox.com/2014/4/23/11625970/facebook-posts-earnings-beat-as-mobile-soars-past-1-billion-monthly,neutral,Facebook ... Users,vox,2014,0,1
564248,16916690,https://www.vox.com/2014/5/1/11626392/chegg-q1-revenue-jumps-22-percent-on-digital-growth,surprise,Chegg ... Growth,vox,2014,0,1
564249,16916879,https://www.vox.com/2014/5/6/11626552/groupons-q1-beats-expectations-but-outlook-disappoints-again,sadness,Groupon's ... Again,vox,2014,-1,1
564250,16919846,https://www.vox.com/2014/7/24/11629160/pandora-profit-forecast-below-analysts-estimates-shares-fall,sadness,Pandora ... Fall,vox,2014,-1,1
564251,16920334,https://www.vox.com/2014/8/5/11629570/report-u-s-firm-says-russian-gang-stole-1-2-billion-net-credentials,sadness,Report: ... Credentials,vox,2014,-1,1
564252,16922705,https://www.vox.com/2014/10/3/11631564/htc-q3-profit-beats-estimates-as-cost-cuts-offset-weak-sales,neutral,HTC ... Sales,vox,2014,0,1
564253,16923338,https://www.vox.com/2014/10/21/11632126/vmware-forecasts-weak-q4-revenue-shares-fall,sadness,VMware ... Fall,vox,2014,-1,1
564254,16924792,https://www.vox.com/2014/11/25/11633276/hp-posts-q4-sales-below-expectations-guidance-weak,neutral,HP ... Weak,vox,2014,0,1
564230,16901406,https://www.vox.com/2015/1/27/11558164/vmware-q4-revenue-profit-beat-estimates,surprise,VMware ... Estimates,vox,2015,0,1
564231,16901484,https://www.vox.com/2015/1/29/11558288/alibaba-quarterly-revenue-disappoints-shares-fall,sadness,Alibaba ... Fall,vox,2015,-1,1
564232,16901523,https://www.vox.com/2015/1/29/11558324/google-misses-its-q4-revenue-earnings-numbers,sadness,Google ... That,vox,2015,-1,1
564233,16902488,https://www.vox.com/2015/2/24/11559364/hp-q1-revenue-falls-short-currency-woes-hammer-outlook,neutral,Hewlett-Packard ... Outlook,vox,2015,0,1
564234,16903217,https://www.vox.com/2015/3/12/11560152/intel-lowers-q1-revenue-outlook-on-weak-pc-sales-currency-effects,sadness,Intel ... Effects,vox,2015,-1,1
564235,16904122,https://www.vox.com/2015/4/6/11561180/samsung-q1-operating-profit-guidance-beats-estimates,surprise,Samsung ... Estimates,vox,2015,0,1
564236,16904773,https://www.vox.com/2015/4/23/11561832/microsoft-sales-earnings-top-estimates-despite-strong-dollar,neutral,Microsoft ... Weakness,vox,2015,0,1
564237,16905045,https://www.vox.com/2015/4/29/11562042/yelp-forecasts-revenue-below-estimates-shares-tumble,sadness,Yelp ... Tumble,vox,2015,-1,1
564238,16908616,https://www.vox.com/2015/7/28/11615174/akamai-forecasts-revenue-profit-below-estimates-shares-sink,sadness,Akamai ... Sink,vox,2015,-1,1
564239,16908712,https://www.vox.com/2015/7/30/11615212/sony-q1-operating-profit-rises-39-percent-beats-estimates,joy,Sony ... Sales,vox,2015,1,1
564240,16908889,https://www.vox.com/2015/8/5/11615382/godaddy-forecasts-current-quarter-revenue-below-estimates,neutral,GoDaddy ... Estimates,vox,2015,0,1
564241,16912554,https://www.vox.com/2015/11/12/11620622/cisco-falls-on-mixed-q1-results-weak-outlook,sadness,Cisco ... Outlook,vox,2015,-1,1
564255,16926527,https://www.vox.com/2016/1/13/11588774/gopro-issues-weak-q4-revenue-estimates-plans-to-cut-7-percent-of,sadness,GoPro ... Workforce,vox,2016,-1,1
564256,16926931,https://www.vox.com/2016/1/24/11589018/capital-gains-jd-com-raises-a-billion-gawker-media-adds-outside-cash,joy,Capital ... Cash,vox,2016,1,1
564257,16928908,https://www.vox.com/2016/3/9/11586826/square-posts-mixed-q4-results-but-promise-of-future-profits-boosts,neutral,Square ... Stock,vox,2016,0,1
564258,16930318,https://www.vox.com/2016/4/18/11586224/ibm-earnings-beat-street-guidance-shares-fall,neutral,IBM ... Fall,vox,2016,0,1
564259,16930696,https://www.vox.com/2016/4/27/11586472/facebook-mobile-79-percent-first-quarter-earnings,neutral,Facebook ... business,vox,2016,0,1
564260,16930773,https://www.vox.com/2016/4/28/11586512/amazon-q1-2016-earnings-results-beat-estimates,surprise,Amazon ... quarter,vox,2016,0,1
564261,16933443,https://www.vox.com/2016/7/10/12142124/capital-gains-uber-first-billion-loan-german-warby-parker,joy,Capital ... global,vox,2016,1,1
564262,16937491,https://www.vox.com/2016/11/2/13503876/facebook-revenue-growth-problem-earnings-q3,sadness,Facebook ... year,vox,2016,-1,1
564263,16940338,https://www.vox.com/2017/1/31/14446398/apple-quarterly-earnings-report-growth-return-iphone-services,neutral,Apple ... like?,vox,2017,0,1
564264,16940408,https://www.vox.com/2017/2/1/14476836/facebook-earnings-q4-2016-revenue-growth,neutral,Facebook’s ... expected,vox,2017,0,1
564265,16943263,https://www.vox.com/2017/4/27/15451726/amazon-q1-2017-earnings-profits-net-income-cash-flow-chart,neutral,Amazon ... quarter,vox,2017,0,1
564266,16943437,https://www.vox.com/2017/5/2/15512552/facebook-q1-earnings-preview-2017-revenue-growth,neutral,Facebook ... 2017.,vox,2017,0,1
564267,16943501,https://www.vox.com/2017/5/3/15523268/apple-services-business-revenue-growth,neutral,Why ... valuable,vox,2017,0,1
564268,16943851,https://www.vox.com/2017/5/13/15632996/snap-snapchat-evan-spiegel-wall-street-stock-earnings-revenue-growth-update,sadness,Three ... week,vox,2017,-1,1
564269,16946446,https://www.vox.com/2017/7/24/16020840/alphabet-google-business-stock-earnings-growth-cloud-revenue-profits-q2-2017,neutral,Google ... faster,vox,2017,0,1
564270,16946597,https://www.vox.com/2017/7/27/16050956/twitter-daily-user-growth-dau-mau-stock-q2-earnings,joy,The ... numbers,vox,2017,1,1
564271,16946944,https://www.vox.com/2017/8/7/16098798/snap-facebook-revenue-chart-growth-arpu-earnings,neutral,One ... users,vox,2017,0,1
564272,16947768,https://www.vox.com/2017/9/1/16244452/roku-ipo-s1-platform-revenue-profit-growth-streaming-hardware,neutral,Roku’s ... hardware,vox,2017,0,1
564211,16890511,https://www.vox.com/2018/2/2/16962090/apple-earnings-amazon-ai-alphabet-google-cloud-cbs-viacom-merger-shari-redstone-buzzfeed-monopoly,joy,Recode ... money,vox,2018,1,1
564212,16890545,https://www.vox.com/2018/2/5/16975008/snap-snapchat-q4-2018-earnings-preview-revenue-user-growth-evan-spiegel,neutral,Snap ... narrative.,vox,2018,0,1
564213,16890571,https://www.vox.com/2018/2/6/16978556/netflix-amazon-tesla-facebook-google-stock-market-perform-dow-s-p-500-chart,neutral,"Netflix, ... year",vox,2018,0,1
564214,16890597,https://www.vox.com/2018/2/6/16976634/stock-market-dowjones-jerome-powell-fed-reserve-earnings-snap-disney-uber-waymo-trial-intel-vaunt,fear,Recode ... plunge,vox,2018,-1,1
564215,16890659,https://www.vox.com/2018/2/8/16991140/twitter-profit-q4-2018-earnings-revenue-cuts,neutral,Twitter ... business,vox,2018,0,1
564216,16890666,https://www.vox.com/2018/2/8/16989160/twitter-earnings-profit-anthony-noto-snapchat-pelosi-damore-google-uber-kalanick-barlow-eff,surprise,Recode ... Q4,vox,2018,0,1
564217,16891379,https://www.vox.com/2018/3/2/16841754/walmart-target-amazon-fresh-grocery-prices-basket-savings-app,anger,"Amazon, ... price",vox,2018,-1,1
564218,16891783,https://www.vox.com/2018/3/15/17124300/google-amazon-microsoft-cloud-200-percent-jump-data-center-acquisitions,neutral,"Google, ... year",vox,2018,0,1
564219,16892949,https://www.vox.com/2018/4/23/17270868/google-alphabet-q1-earnings-preview-privacy-regulation-cambridge-analytica,neutral,What ... out.,vox,2018,0,1
564220,16892966,https://www.vox.com/2018/4/24/17271698/twitter-twtr-q1-earnings-preview-2018-profit-growth-jack-dorsey,neutral,Twitter’s ... value,vox,2018,0,1
564221,16892968,https://www.vox.com/2018/4/23/17272756/google-alphabet-nest-q1-earnings-2018-revenue-operating-loss,neutral,We ... makes,vox,2018,0,1
564222,16892980,https://www.vox.com/2018/4/24/17273716/alphabet-q1-earnings-google-youtube-nest-facebook-content-twitter-stock-uber-didi-oliver-hannity,surprise,Recode ... report,vox,2018,0,1
564223,16893001,https://www.vox.com/2018/4/25/17281500/facebook-fb-mark-zuckerberg-earnings-q1-2018-revenue-stock,joy,Facebook ... booming,vox,2018,1,1
564224,16893049,https://www.vox.com/2018/4/26/17286316/amazon-jeff-bezos-amzn-q1-earnings-revenue-stock-aws-advertising,neutral,Amazon’s ... dominance,vox,2018,0,1
564225,16893180,https://www.vox.com/2018/5/1/17306868/snap-earnings-q1-2018-user-growth-redesign,sadness,Snapchat’s ... growth,vox,2018,-1,1
564226,16893249,https://www.vox.com/2018/5/2/17312236/spotify-daniel-ek-spot-q1-revenue-subscribers-earnings-stock,disgust,Wall ... report,vox,2018,-1,1
564227,16895830,https://www.vox.com/2018/7/27/17622718/facebooks-stock-drop-tech-industry-google-market-value,sadness,Facebook’s ... Google,vox,2018,-1,1
564228,16896289,https://www.vox.com/2018/8/15/17694914/uber-q2-financial-results-bikes-scooters-revenue-growth,neutral,Uber ... bikes,vox,2018,0,1
564229,16898919,https://www.vox.com/2018/11/6/18064976/arkansas-election-results-issue-5-minimum-wage-results,neutral,Voters ... raise,vox,2018,0,1
563634,12501525,https://www.nytimes.com/2000/01/04/business/the-markets-bonds-treasury-prices-fall-amid-concern-fed-will-raise-rates.html,fear,THE ... Rates,nyt,2000,-1,1
563635,12502053,https://www.nytimes.com/2000/01/06/business/markets-market-place-amazon-stock-falls-less-than-spectacular-revenue-forecast.html,joy,THE ... Forecast,nyt,2000,1,1
563636,12502054,https://www.nytimes.com/2000/01/06/business/the-markets-stocks-bonds-dow-gains-124-points-ending-slide-treasury-prices-fall.html,sadness,THE ... Fall,nyt,2000,-1,1
563637,12506895,https://www.nytimes.com/2000/01/27/business/the-markets-stocks-dow-ends-mixed-as-investors-shift-to-financial-companies.html,neutral,THE ... Companies,nyt,2000,0,1
563638,12507403,https://www.nytimes.com/2000/01/29/business/markets-stocks-bonds-markets-shaken-economic-statistics-fan-inflation-fears.html,fear,THE ... Fears,nyt,2000,-1,1
563639,12516752,https://www.nytimes.com/2000/03/09/business/markets-stocks-bonds-shares-rebound-oil-prices-fears-inflation-ease.html,fear,THE ... Ease,nyt,2000,-1,1
563640,12518193,https://www.nytimes.com/2000/03/15/business/markets-stocks-bonds-call-for-sharing-research-causes-gene-stocks-plunge.html,neutral,THE ... Plunge,nyt,2000,0,1
563641,12525564,https://www.nytimes.com/2000/04/15/business/markets-stocks-stock-market-steep-drop-worried-investors-flee-nasdaq-has-its.html,anger,THE ... WEEK,nyt,2000,-1,1
563642,12526272,https://www.nytimes.com/2000/04/18/business/the-markets-stocks-bonds-us-stocks-rally-after-prices-slide-in-global-markets.html,neutral,THE ... MARKETS,nyt,2000,0,1
563643,12528361,https://www.nytimes.com/2000/04/27/business/markets-stocks-bonds-investors-retreat-fearing-release-inflationary-data.html,fear,THE ... Data,nyt,2000,-1,1
563644,12533208,https://www.nytimes.com/2000/05/18/business/the-markets-stocks-shares-fall-on-profit-taking-and-the-fed-s-rate-warning.html,sadness,THE ... Warning,nyt,2000,-1,1
563645,12533693,https://www.nytimes.com/2000/05/20/business/markets-stocks-bonds-stock-prices-fall-fears-more-interest-rate-increases-grow.html,fear,THE ... Grow,nyt,2000,-1,1
563646,12537776,https://www.nytimes.com/2000/06/06/business/the-markets-stocks-share-prices-mixed-as-investors-pause-over-recent-gains.html,neutral,THE ... Gains,nyt,2000,0,1
563647,12538482,https://www.nytimes.com/2000/06/09/business/the-markets-stocks-bonds-share-prices-retreat-over-corporate-earnings-concerns.html,fear,THE ... Concerns,nyt,2000,-1,1
563648,12541452,https://www.nytimes.com/2000/06/22/business/markets-stocks-bonds-shares-rise-microsoft-rallies-delay-restrictions.html,neutral,THE ... Restrictions,nyt,2000,0,1
563649,12541664,https://www.nytimes.com/2000/06/23/business/the-markets-stocks-bonds-shares-fall-as-investors-speculate-about-rate-increase.html,fear,THE ... Increase,nyt,2000,-1,1
563650,12545626,https://www.nytimes.com/2000/07/11/business/markets-stocks-share-prices-end-mixed-earnings-season-begins-dow-manages-rise.html,sadness,THE ... Retrenches,nyt,2000,-1,1
563651,12548028,https://www.nytimes.com/2000/07/22/business/markets-stocks-bonds-share-prices-fall-investors-consider-quarterly-reports.html,neutral,THE ... Reports,nyt,2000,0,1
563652,12552591,https://www.nytimes.com/2000/08/12/business/the-markets-stocks-bonds-share-prices-post-gains-on-encouraging-economic-data.html,neutral,THE ... Data,nyt,2000,0,1
563653,12560474,https://www.nytimes.com/2000/09/16/business/the-markets-stocks-bonds-stocks-tumble-as-oil-prices-rise-and-oracle-disappoints.html,sadness,THE ... Disappoints,nyt,2000,-1,1
563654,12561436,https://www.nytimes.com/2000/09/19/business/the-markets-stocks-bonds-earnings-and-oil-worries-send-share-prices-lower.html,sadness,THE ... Lower,nyt,2000,-1,1
563655,12563160,https://www.nytimes.com/2000/09/26/business/the-markets-stocks-bonds-shares-fall-as-investors-worry-about-earnings-reports.html,fear,THE ... Reports,nyt,2000,-1,1
563656,12565606,https://www.nytimes.com/2000/10/06/business/the-markets-stocks-bonds-share-prices-slide-on-concern-over-corporate-earnings.html,fear,THE ... Earnings,nyt,2000,-1,1
563657,12565919,https://www.nytimes.com/2000/10/07/business/the-markets-stocks-bonds-financial-and-technology-stocks-send-markets-lower.html,sadness,THE ... Lower,nyt,2000,-1,1
563658,12571948,https://www.nytimes.com/2000/11/02/business/markets-stocks-bonds-shares-pull-back-investors-cash-volatility-ebbs.html,neutral,THE ... Ebbs,nyt,2000,0,1
563659,12572184,https://www.nytimes.com/2000/11/03/business/markets-stocks-bonds-market-search-direction-settles-for-mixed-results.html,neutral,THE ... Results,nyt,2000,0,1
563660,12577195,https://www.nytimes.com/2000/11/23/business/the-markets-stocks-bonds-shares-fall-on-fears-that-technology-growth-may-slow.html,fear,THE ... Slow,nyt,2000,-1,1
563661,12585272,https://www.nytimes.com/2000/12/28/business/the-markets-stocks-bonds-share-prices-move-higher-on-hopes-of-easing-by-the-fed.html,neutral,THE ... Fed,nyt,2000,0,1
563608,12265832,https://www.nytimes.com/2001/01/20/business/the-markets-stocks-bonds-dow-falls-but-microsoft-lifts-tech-shares.html,sadness,THE ... Shares,nyt,2001,-1,1
563609,12268098,https://www.nytimes.com/2001/01/30/business/markets-stocks-bonds-shares-rise-investors-anticipate-effects-rate-cut.html,fear,THE ... Cut,nyt,2001,-1,1
563610,12274849,https://www.nytimes.com/2001/03/01/business/markets-stocks-stocks-fall-after-greenspan-s-comments-dash-hopes-for-rate-cut.html,neutral,THE ... Cut,nyt,2001,0,1
563611,12276833,https://www.nytimes.com/2001/03/10/business/markets-stocks-bonds-intel-warning-jobs-report-help-send-stocks-sharply-lower.html,fear,THE ... Lower,nyt,2001,-1,1
563612,12279080,https://www.nytimes.com/2001/03/21/business/the-markets-stocks-bonds-shares-fall-hard-as-fed-rate-cut-disappoints-investors.html,sadness,THE ... Investors,nyt,2001,-1,1
563613,12280972,https://www.nytimes.com/2001/03/29/business/markets-stocks-bonds-investors-jolted-stocks-tumble-sharply-after-3-days-gains.html,sadness,THE ... Gains,nyt,2001,-1,1
563614,12283762,https://www.nytimes.com/2001/04/10/business/markets-stocks-bonds-shares-rise-slightly-investors-await-earnings-reports.html,neutral,THE ... Reports,nyt,2001,0,1
563615,12283980,https://www.nytimes.com/2001/04/11/business/markets-stocks-bonds-stocks-register-steep-gains-but-wall-street-still-wary.html,fear,THE ... Wary,nyt,2001,-1,1
563616,12285217,https://www.nytimes.com/2001/04/17/business/markets-bonds-bond-sell-off-continues-investors-reel-expectations-fed-cut.html,neutral,THE ... Cut,nyt,2001,0,1
563617,12288563,https://www.nytimes.com/2001/05/02/business/the-markets-stocks-bonds-shares-rise-again-amid-optimism-for-earnings-growth.html,neutral,THE ... Growth,nyt,2001,0,1
563618,12291940,https://www.nytimes.com/2001/05/15/business/markets-stocks-bonds-gauges-are-mixed-investors-await-fed-move-rates.html,neutral,THE ... Rates,nyt,2001,0,1
563619,12292500,https://www.nytimes.com/2001/05/17/business/markets-stocks-bonds-stock-indexes-rise-sharply-perhaps-tame-consumer-prices.html,neutral,THE ... Prices,nyt,2001,0,1
563620,12293849,https://www.nytimes.com/2001/05/23/business/the-markets-stocks-bonds-nasdaq-edges-higher-while-blue-chips-drop-slightly.html,neutral,THE ... Slightly,nyt,2001,0,1
563621,12294593,https://www.nytimes.com/2001/05/26/business/markets-stocks-bonds-stocks-are-dragged-lower-sluggish-reports-economy.html,fear,THE ... Economy,nyt,2001,-1,1
563622,12299412,https://www.nytimes.com/2001/06/16/business/the-markets-stocks-bonds-shares-fall-on-slow-growth-in-phone-equipment-sales.html,neutral,THE ... Sales,nyt,2001,0,1
563623,12302573,https://www.nytimes.com/2001/06/29/business/the-markets-stocks-bonds-markets-rally-on-hopes-for-higher-corporate-earnings.html,joy,THE ... Earnings,nyt,2001,1,1
563624,12304121,https://www.nytimes.com/2001/07/06/business/the-markets-stocks-bonds-shares-decline-on-bleak-corporate-earnings-forecasts.html,sadness,THE ... Forecasts,nyt,2001,-1,1
563625,12313539,https://www.nytimes.com/2001/08/15/business/the-markets-stocks-bonds-shares-fall-a-bit-despite-home-depot-s-strong-earnings.html,sadness,THE ... Earnings,nyt,2001,-1,1
563626,12323101,https://www.nytimes.com/2001/09/25/business/the-markets-stocks-bonds-oil-and-gas-prices-tumble-but-stocks-soar-worldwide.html,sadness,THE ... Worldwide,nyt,2001,-1,1
563627,12325621,https://www.nytimes.com/2001/10/06/business/markets-stocks-bonds-shares-advance-prospect-60-billion-tax-cuts.html,neutral,THE ... Cuts,nyt,2001,0,1
563628,12330098,https://www.nytimes.com/2001/10/23/business/the-markets-stocks-bonds-shares-rise-despite-poor-earnings-and-economic-figures.html,neutral,THE ... Figures,nyt,2001,0,1
563629,12335895,https://www.nytimes.com/2001/11/13/business/markets-stocks-bonds-stocks-fall-then-rise-fears-terrorism-crash-s-cause-abate.html,fear,THE ... Abate,nyt,2001,-1,1
563630,12342270,https://www.nytimes.com/2001/12/08/business/markets-stocks-bonds-share-prices-drop-investors-lock-profits-rally.html,fear,THE ... Rally,nyt,2001,-1,1
563665,12674182,https://www.nytimes.com/2002/04/12/business/markets-stocks-bonds-shares-drop-sharply-general-electric-s-profit-decline.html,sadness,THE ... Decline,nyt,2002,-1,1
563666,12682853,https://www.nytimes.com/2002/05/17/business/markets-stocks-bonds-shares-increase-only-slightly-investors-buy-selectively.html,neutral,THE ... Selectively,nyt,2002,0,1
563667,12684034,https://www.nytimes.com/2002/05/22/business/markets-stocks-bonds-shares-fall-2nd-day-home-depot-outlook-factor.html,surprise,THE ... Factor,nyt,2002,0,1
563668,12697452,https://www.nytimes.com/2002/07/17/business/markets-stocks-bonds-shares-fall-investors-ignore-greenspan-s-assurances-economy.html,sadness,THE ... Economy,nyt,2002,-1,1
563669,12702267,https://www.nytimes.com/2002/08/07/business/markets-stocks-bonds-investors-capitalize-bargains-give-sagging-markets-lift.html,neutral,THE ... Lift,nyt,2002,0,1
563670,12702860,https://www.nytimes.com/2002/08/09/business/markets-stocks-bonds-shares-get-lift-brazil-bailout-rise-for-3rd-day.html,neutral,THE ... Day,nyt,2002,0,1
563671,12707236,https://www.nytimes.com/2002/08/28/business/markets-stocks-bonds-shares-fall-report-drop-consumer-confidence.html,neutral,THE ... Confidence,nyt,2002,0,1
563672,12717102,https://www.nytimes.com/2002/10/08/business/markets-stocks-bonds-profit-warning-sears-pushes-shares-down-sharply.html,sadness,THE ... Sharply,nyt,2002,-1,1
563673,12719718,https://www.nytimes.com/2002/10/18/business/microsoft-reports-strong-revenue-and-net-income-even-though-the-economy-was-weak.html,neutral,Microsoft ... Weak,nyt,2002,0,1
563674,12727248,https://www.nytimes.com/2002/11/15/business/the-markets-stocks-bonds-shares-rally-broadly-led-by-retail-sales-and-earnings.html,neutral,THE ... Earnings,nyt,2002,0,1
563675,12732483,https://www.nytimes.com/2002/12/06/business/markets-stocks-bonds-shares-fall-worries-about-airline-retailers-sales.html,fear,THE ... Sales,nyt,2002,-1,1
563676,12735668,https://www.nytimes.com/2002/12/18/business/markets-stocks-bonds-shares-slip-investors-take-profits-recent-rallies.html,neutral,THE ... Rallies,nyt,2002,0,1
563677,12741073,https://www.nytimes.com/2003/01/11/business/the-markets-stocks-bonds-despite-jobs-report-tech-shares-move-slightly-higher.html,neutral,THE ... Higher,nyt,2003,0,1
563678,12741936,https://www.nytimes.com/2003/01/14/business/the-markets-stocks-bonds-shares-close-flat-as-investors-await-earnings-reports.html,sadness,THE ... Reports,nyt,2003,-1,1
