,Unnamed: 0,emotion,headline,url
190,30208,neutral,White ... Speeches,https://www.newsmax.com/thewire/white-nationalists-campus-deadline-speeches/2017/10/09/id/818574/
200,4369,neutral,Japan's ... Manipulation,https://www.newsmax.com/finance/streettalk/japan-abe-trump-monetary/2017/02/14/id/773651/
210,38437,sadness,Pope ... Rites,https://www.newsmax.com/thewire/pope-francis-bernard-law-prays-final/2017/12/22/id/833299/
220,29354,fear,What ... Take?,https://www.newsmax.com/health/dr-hibberd/anxiety-medication-drugs-addiction/2013/09/25/id/527598/
230,30922,neutral,More ... II,https://www.newsmax.com/finance/robert-feinberg/lagarde-cross-border-derivatives-financial/2013/10/08/id/529941/
240,20495,neutral,Cop ... Teeth,https://www.newsmax.com/thewire/cop-shoots-partner-dog/2013/07/12/id/514781/
250,32554,anger,Fan ... (Video),https://www.newsmax.com/thewire/fan-punches-woman-jets/2013/10/22/id/532322/
260,23822,fear,Newly ... Link,https://www.newsmax.com/scitech/scientists-hot-dogs-galaxies/2012/08/29/id/450259/
270,34411,neutral,Fed's ... Limits,https://www.newsmax.com/finance/streettalk/fed-fisher-limits-easing/2012/11/27/id/465482/
280,33014,anger,SAfrica ... Diamonds,https://www.newsmax.com/world/africa/safrica-diamonds-smuggler-nabbed/2012/11/14/id/464065/
290,35428,neutral,US ... Economy,https://www.newsmax.com/finance/economy/internet-rules-digital-economy/2012/12/05/id/466541/
300,6893,fear,The ... Recovery,https://www.newsmax.com/finance/streettalk/eu-greece-financial-crisis/2010/03/08/id/351903/
310,28001,neutral,Illinois ... Overseas,https://www.newsmax.com/finance/economy/cash-strapped-states-sell-bonds/2010/10/06/id/372801/
320,14148,fear,ECB's ... Fears,https://www.newsmax.com/finance/headline/eu-europe-financial-crisis/2010/05/14/id/359026/
330,26307,neutral,Payrolls ... Recovery,https://www.newsmax.com/finance/economy/payrolls-decrease-36-states/2010/09/21/id/371002/
340,36762,neutral,Gingrich ... Endorsements,https://www.newsmax.com/insidecover/gingrich-tea-party-iowa/2011/12/14/id/421031/
350,33544,neutral,Nixon's ... Out,https://www.newsmax.com/us/nixon-watergate-testimony-archives/2011/11/10/id/417568/
360,24885,neutral,Huntsman: ... 'Fringes',https://www.newsmax.com/insidecover/huntsman-2012/2011/08/21/id/408060/
370,7164,neutral,10 ... Health,https://www.newsmax.com/fastfeatures/supplements-for-eye-health/2011/03/09/id/370661/
380,8931,sadness,Missing ... Florida,https://www.nbcnews.com/news/us-news/missing-20-year-old-new-york-woman-s-remains-found-n1013601
390,5891,disgust,Harvey ... affair,https://www.nbcnews.com/storyline/sexual-misconduct/harvey-weinstein-s-lawyer-claims-rape-accuser-weinstein-had-10-n878236
400,11736,neutral,In ... school,https://www.nbcnews.com/feature/nbc-out/indonesia-transgender-women-find-haven-islamic-boarding-school-n920631
410,7890,neutral,Mixed ... Bump,https://www.nbcnews.com/business/economy/mixed-wage-growth-reveals-economys-speed-bump-n335291
420,12813,sadness,Texas ... ISIS,https://www.nbcnews.com/storyline/isis-terror/texas-man-gets-prison-time-trying-join-isis-n370696
430,13041,neutral,KNOW ... News,https://www.nbcnews.com/news/know-it-all/know-it-all-tuesdays-top-7-stories-nbc-news-n372126
440,33324,joy,'I ... Sea,https://www.nbcnews.com/news/us-news/i-got-really-lucky-makeshift-radio-saved-sailor-after-12-n265961
450,8006,sadness,Late ... Images,https://www.nbcnews.com/news/photo/late-war-photographers-words-paired-his-searing-images-n61846
460,16215,neutral,How ... Heartland,https://www.nbcnews.com/news/asian-america/how-asian-immigration-changing-americas-heartland-n129491
470,14788,neutral,First ... Speech,https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-previewing-trump-s-economic-speech-n625246
480,7115,neutral,Tax ... Says,https://www.nbcnews.com/business/taxes/tax-thieves-increasingly-sophisticated-irs-head-john-koskinen-says-n554766
490,16124,joy,Denzel ... heroism',https://www.nbcnews.com/news/nbcblk/denzel-washington-film-spotlights-why-activism-heroism-n823176
500,13919,disgust,Analysis: ... Case,https://www.nbcnews.com/feature/nbc-out/analysis-politics-overshadows-substance-lgbtq-employment-case-n807396
510,3675,fear,'Heartbreaking': ... Invasion,https://www1.cbn.com/cbnnews/world/2019/october/heartbreaking-iraq-kurds-prep-for-refugee-influx-label-erdogan-a-terrorist-for-syria-invasion
520,267,fear,Presence ... Visit,https://www1.cbn.com/cbnnews/world/2015/February/Presence-of-God-Strong-During-Saeeds-Prison-Visit
530,2088,joy,Baby ... Girl,https://www1.cbn.com/cbnnews/us/2017/may/does-christian-schools-pregnant-grad-ban-promote-abortion
540,15809,neutral,A ... Messaging,https://www.cbsnews.com/news/a-guide-to-undisciplined-messaging/
550,36785,disgust,Nader ... Toledo,https://www.cbsnews.com/news/nader-criticizes-two-party-system-at-u-toledo/
560,15212,neutral,Russian ... Report,https://www.cbsnews.com/news/russian-portal-yandex-to-do-us-ipo-seeking-15-2-billion-report/
570,40543,neutral,Demands ... Mount,https://www.cbsnews.com/news/demands-for-baby-formula-recall-mount-26-11-2008/
580,32827,neutral,Sources: ... U.S.,https://www.cbsnews.com/news/sources-several-who-went-to-pakistan-with-zazi-back-in-us/
590,28420,neutral,Iraqi ... Early,https://www.cbsnews.com/news/iraqi-shoe-thrower-to-be-freed-early/
600,8476,disgust,High ... Steroids,https://www.cbsnews.com/news/high-schoolers-unknowingly-taking-steroids/
610,32517,neutral,Politics ... Decision,https://www.cbsnews.com/news/politics-today-an-olympic-decision/
620,8109,neutral,Read ... investigation,https://www.cbsnews.com/news/read-robert-muellers-full-remarks-on-the-conclusion-of-russia-investigation-today-2019-05-29/
630,6120,neutral,Legalizing ... 2020,https://www.cbsnews.com/news/legalizing-marijuana-americans-support-it-but-not-enough-to-sway-their-vote-in-2020/
640,21185,anger,Licorice: ... it,https://www.cbsnews.com/news/licorice-love-it-or-hate-it/
650,6111,neutral,Alabama ... gas,https://www.cbsnews.com/news/alabama-lawmakers-approve-execution-by-nitrogen-gas/
660,24013,anger,Saudis ... killing,https://www.cbsnews.com/news/saudi-arabia-us-senate-jamal-khashoggi-crown-prince-mohammed-bin-salman-disrespect/
670,13277,fear,Deadly ... Afghanistan,https://www.cbsnews.com/news/deadly-taliban-siege-continues-in-afghanistan/
680,4271,neutral,Do ... naps?,https://www.cbsnews.com/news/do-preschoolers-still-need-naps/
690,25037,neutral,Wanted: ... schools,https://www.cbsnews.com/news/wanted-more-computer-science-in-american-schools/
700,23401,neutral,Judge ... surgery,https://www.cbsnews.com/news/parents-fail-to-stop-48-year-olds-gender-reassignment-surgery/
710,27340,sadness,Texas ... switch,https://www.cbsnews.com/news/texas-woman-cleared-in-death-linked-to-gm-defect/
720,13221,joy,Bonnaroo ... West,https://www.cbsnews.com/news/bonnaroo-2014-boasts-performances-by-elton-john-kanye-west/
730,8581,neutral,Hillary ... title,https://www.cbsnews.com/news/hillary-clintons-upcoming-book-now-has-a-title/
740,10575,sadness,Cards ... Playoffs,https://www.cbsnews.com/news/cards-lose-catcher-for-playoffs/
750,5199,neutral,Message ... France,https://www.cbsnews.com/news/message-in-a-bottle-tossed-in-new-york-washes-up-in-france/
760,4527,neutral,No. ... election,https://www.cbsnews.com/news/no-2-senate-republican-weighs-in-on-potential-scotus-hearing-2016/
770,2214,neutral,Don ... case,https://www.cbsnews.com/news/don-mclean-wife-agree-to-dismiss-protection-order-case/
780,10035,neutral,For ... Defibrillators,https://www.cbsnews.com/news/for-sale-at-home-defibrillators/
790,9999,neutral,Gates: ... India,https://www.cbsnews.com/news/gates-100m-to-fight-aids-in-india/
800,4804,neutral,Election ... Team,https://www.cbsnews.com/news/election-stings-blairs-team/
810,6074,neutral,North ... engine,https://www.cbsnews.com/news/north-korea-tests-new-type-high-thrust-rocket-engine/
820,13734,disgust,Dashcam ... driver,https://www.cbsnews.com/news/anthony-promvongsa-dashcam-video-shows-officer-kneeing-punching-driver/
830,24028,neutral,Puerto ... says,https://www.cbsnews.com/news/puerto-ricans-showing-very-low-interest-in-airlift-offer-fema/
840,25668,disgust,Assad ... gangrene,https://www.cbsnews.com/news/assad-refutes-butcher-accusation-im-like-a-doctor-who-cuts-the-leg-to-prevent-gangrene/
850,14831,fear,Why ... 2016,https://www.cbsnews.com/news/why-obama-should-worry-that-current-scandals-might-impact-2016/
860,15999,neutral,Harold ... blood,https://www.cbsnews.com/news/harold-mendenhall-84-donates-100th-gallon-of-blood/
870,32019,neutral,Should ... Arts?,https://www.cbsnews.com/news/should-managers-study-the-liberal-arts/
880,3603,joy,The ... It,https://www.cbsnews.com/news/the-jokes-on-you-8212-enjoy-it/
890,21777,neutral,Petraeus ... Fox,https://www.cbsnews.com/news/petraeus-and-crocker-assert-their-independence-on-fox/
900,11907,neutral,Summer ... Tastes,https://www.cbsnews.com/news/summer-music-preview-for-eclectic-tastes/
910,1758,sadness,Hundreds ... Wildfire,https://www.cbsnews.com/news/hundreds-forced-out-by-socal-wildfire/
920,30030,neutral,Colombia: ... nabbed,https://www.cbsnews.com/news/colombia-our-last-big-drug-lord-daniel-loco-barrera-nabbed/
930,16415,neutral,USS ... Calif.,https://www.cbsnews.com/news/uss-iowa-on-way-to-new-home-in-southern-calif/
940,28067,joy,Malick's ... Venice,https://www.cbsnews.com/news/malicks-to-the-wonder-premieres-in-venice/
950,10,joy,The ... maestro,https://www.cbsnews.com/news/the-pope-and-his-jewish-maestro/
960,33175,fear,When ... war,https://www.cbsnews.com/news/when-the-us-was-on-the-brink-of-nuclear-war/
970,6840,neutral,"Bush, ... Trail",https://www.cbsnews.com/news/bush-kerry-back-on-campaign-trail/
980,19791,neutral,Interest ... Fight,https://www.cbsnews.com/news/interest-groups-see-opportunity-in-kagan-fight/
990,6302,neutral,Help! ... Me!,https://www.cbsnews.com/news/help-my-boss-keeps-changing-priorities-on-me/
1000,41517,anger,Democrats ... Care,https://www.cbsnews.com/news/democrats-press-gop-lawmakers-to-turn-down-government-health-care/
1010,31086,sadness,Whiskey ... Sales,https://www.cbsnews.com/news/whiskey-giant-sees-slow-us-sales/
1020,6256,anger,Report: ... Explosives,https://www.cbsnews.com/news/report-zazi-flushed-explosives/
1030,23544,sadness,U.N.: ... medicine,https://www.cbsnews.com/news/un-libya-is-running-out-of-food-and-medicine/
1040,391,neutral,112th ... Horizon?,https://www.cbsnews.com/news/112th-congress-begins-gridlock-on-horizon/
1050,10410,anger,Qaddafi's ... turmoil,https://www.cbsnews.com/news/qaddafis-iron-grip-tested-amid-bloody-turmoil/
1060,34038,neutral,Qaddafi ... forces,https://www.cbsnews.com/news/qaddafi-calls-on-libyans-to-resist-rebel-forces/
1070,28465,neutral,Casey ... verdict,https://www.cbsnews.com/news/casey-anthony-defense-team-parties-at-bar-after-not-guilty-verdict/
1080,10128,neutral,Calif. ... Weds,https://www.cbsnews.com/news/calif-assembly-oks-same-sex-weds/
1090,14678,neutral,Where ... Democrats,https://www.wsj.com/articles/SB120893123769337751
1100,35937,neutral,Vanguard ... AGG),https://www.wsj.com/articles/SB122228933358772459
1110,2128,neutral,Scottish ... Talks,https://www.wsj.com/articles/SB120059765012498351
1120,13320,neutral,Mizuho ... Time,https://www.wsj.com/articles/SB120790131939307661
1130,30915,neutral,For ... Calls,https://www.wsj.com/articles/SB121919500075055319
1140,23938,neutral,India ... 6,https://www.wsj.com/articles/SB124505999939614849
1150,39813,neutral,Rains ... North,https://www.wsj.com/articles/SB125490189081970331
1160,42335,neutral,CBO ... Reform,https://www.wsj.com/articles/SB10001424052748703573604574491690229571588
1170,2883,neutral,U.K. ... Insurance,https://www.wsj.com/articles/SB123266786375508033
1180,50448,neutral,EU ... Battle,https://www.wsj.com/articles/SB126089161812692163
1190,17337,neutral,The ... Money,https://www.wsj.com/articles/SB124087477951861329
1200,25875,sadness,Publicis ... Guidance,https://www.wsj.com/articles/publicis-groupe-cuts-organic-revenue-guidance-11570735262?tesla=y
1210,15333,fear,The ... Fever,https://www.wsj.com/articles/the-subtle-psychology-of-auction-fever-11560437196?tesla=y
1220,10600,anger,Trump ... Report,https://www.wsj.com/articles/trump-says-white-house-will-fight-mcgahn-subpoena-11556119173?tesla=y
1230,12307,disgust,Obama’s ... CIA,https://www.wsj.com/articles/obamas-prosecutor-vouches-for-haspels-cia-1525635191?tesla=y
1240,4179,sadness,U.S. ... 2017,https://www.wsj.com/articles/u-s-household-debt-up-193-billion-to-13-15-trillion-to-end-2017-1518537600?tesla=y
1250,7244,sadness,What ... London,https://www.wsj.com/articles/what-unilever-gains-by-leaving-london-1521126429?tesla=y
1260,2041,neutral,Memo ... Networks,https://www.wsj.com/articles/SB979764347480768299
1270,29382,neutral,South ... Companies,https://www.wsj.com/articles/SB998362136609848608
1280,38889,neutral,EMC ... Lead,https://www.wsj.com/articles/SB1005800868447339280
1290,19752,neutral,Price ... Profit-Taking,https://www.wsj.com/articles/SB991158019927142035
1300,32228,fear,Struggling ... Say,https://www.wsj.com/articles/SB1000757741833288000
1310,487,sadness,Indonesia ... Crash,https://www.wsj.com/articles/airasia-flight-8501-investigation-to-involve-indonesian-police-1420454599?tesla=y
1320,12400,neutral,Myanmar’s ... Photos,https://www.wsj.com/articles/myanmars-stateless-muslims-struggle-to-find-a-home-photos-1427074589?tesla=y
1330,43477,neutral,Japan’s ... Project,https://www.wsj.com/articles/japans-mitsui-eyes-stake-in-canadian-lng-project-1444874184?tesla=y
1340,34515,anger,China ... Misappropriated,https://www.wsj.com/articles/china-says-housing-program-funds-were-misappropriated-1439813360?tesla=y
1350,17295,anger,Some ... Deal,https://www.wsj.com/articles/some-creditors-pushing-brazils-eneva-for-debt-for-equity-deal-1429644351?tesla=y
1360,54168,sadness,Post ... Soggy,https://www.wsj.com/articles/post-shares-are-looking-soggy-ahead-of-the-tape-1416775277?tesla=y
1370,5065,neutral,U.S. ... Welcome,https://www.wsj.com/articles/no-headline-available-1391016832?tesla=y
1380,32333,neutral,A ... Scotia,https://www.wsj.com/articles/hurricane-arthur-heads-toward-nova-scotia-1404567515?tesla=y
1390,30659,fear,Attacks ... Iraq,https://www.wsj.com/articles/attacks-by-militants-stoke-death-toll-in-iraq-1403730705?tesla=y
1400,39299,joy,Stylewatching ... Soiree,https://www.wsj.com/articles/stylewatching-at-mr-porters-east-hampton-soiree-1408139757?tesla=y
1410,6007,neutral,"China, ... Race",https://www.wsj.com/articles/china-japan-lead-asia8217s-mampa-race-1391601185?tesla=y
1420,7737,neutral,Drkoop.com ... Sales,https://www.wsj.com/articles/SB951867853854454451
1430,7380,sadness,Heavy ... Trader,https://www.wsj.com/articles/SB951691141549000669
1440,41685,neutral,Dollar ... On,https://www.wsj.com/articles/SB974900230979622571
1450,20039,neutral,Fund ... Firms,https://www.wsj.com/articles/SB96040923223734094
1460,29392,sadness,European ... News,https://www.wsj.com/articles/SB966570445281774962
1470,10666,sadness,Valeant ... Half,https://www.wsj.com/articles/valeant-cuts-guidance-warns-of-possible-default-shares-cut-in-half-1458090709?tesla=y
1480,30250,neutral,CMO ... Win,https://www.wsj.com/articles/cmo-today-democratic-convention-tips-off-with-ratings-win-1469620200?tesla=y
1490,51125,neutral,U.S. ... Tampering,https://www.wsj.com/articles/u-s-to-check-drone-seized-by-china-for-tampering-1482417044?tesla=y
1500,23909,surprise,The ... Naturally,https://www.wsj.com/articles/the-hottest-tonys-afterparty-hamilton-naturally-1465867035?tesla=y
1510,20809,anger,Hillary ... Control,https://www.wsj.com/articles/hillary-clinton-blasts-donald-trump-over-gun-control-1463885432?tesla=y
1520,37244,sadness,"Europe, ... Says",https://www.wsj.com/articles/SB103774204080448748
1530,37351,neutral,Where ... Poll-Watchers?,https://www.wsj.com/articles/SB1037754875989010108
1540,17979,sadness,El ... Officer,https://www.wsj.com/articles/SB1023202827514509680
1550,14279,sadness,Japan ... Sign,https://www.wsj.com/articles/SB1020384738517079360
1560,32478,neutral,Containers ... Promise,https://www.wsj.com/articles/SB106799454988159800
1570,25285,neutral,Sony ... Well,https://www.wsj.com/articles/SB10620896401377200
1580,285,neutral,Martha's ... Advertisers,https://www.wsj.com/articles/SB1041545723820445993
1590,32592,joy,BNP ... Performances,https://www.wsj.com/articles/SB10680124126313600
1600,19694,neutral,Secret ... House,https://www.wsj.com/articles/secret-service-has-no-audio-recordings-or-transcripts-made-in-trump-white-house-1497291979?tesla=y
1610,29115,neutral,U.S. ... Weakens,https://www.wsj.com/articles/u-s-government-bonds-slip-as-irma-weakens-1505138640?tesla=y
1620,1676,sadness,Appointment ... Delays,https://www.wsj.com/articles/appointment-of-trumps-economic-policy-team-faces-delays-1484590244?tesla=y
1630,17526,joy,Blockchain ... Million,https://www.wsj.com/articles/blockchain-firm-r3-raises-107-million-1495548641?tesla=y
1640,7252,neutral,Taking ... Flight,https://www.wsj.com/articles/SB10001424127887324432004578302461513842442
1650,26382,neutral,Medical ... Checkup,https://www.wsj.com/articles/SB10001424127887324682204578515490226721044
1660,8486,sadness,Tax ... Some,https://www.wsj.com/articles/SB10001424127887324048904578315970515816696
1670,50430,neutral,Late ... Marathon,https://www.wsj.com/articles/SB10001424052702304391204579180111429157706
1680,47875,neutral,Exit ... Goldman,https://www.wsj.com/articles/goldman-vice-chairman-to-retire-1382377689?tesla=y
1690,23378,neutral,Warhol ... Million,https://www.wsj.com/articles/SB10001424127887323398204578487571089272236
1700,766,neutral,CEO ... Politics,https://www.wsj.com/articles/SB116830946365770936
1710,20326,neutral,Clinton ... Putin,https://www.wsj.com/articles/SB118333921247454855
1720,19050,neutral,She's ... Shoes,https://www.wsj.com/articles/SB118238895435242849
1730,27227,neutral,Wolfowitz ... Flak,https://www.wsj.com/articles/SB118886932904116503
1740,835,neutral,SAP ... Sales,https://www.wsj.com/articles/SB113691010259742803
1750,17504,sadness,No-Go ... Germany,https://www.wsj.com/articles/SB114971767454874163
1760,5245,sadness,Impath ... Convicted,https://www.wsj.com/articles/SB114015120586376814
1770,23974,anger,Bench ... Prosecutors,https://www.wsj.com/articles/SB115473921388527666
1780,15049,disgust,How ... Britain,https://www.wsj.com/articles/SB10001424052702303816504577313852502105454
1790,17386,neutral,For ... R&D,https://www.wsj.com/articles/SB10001424052702304818404577349663551986258
1800,29294,neutral,Vaccine ... Addiction,https://www.wsj.com/articles/SB10001424052702304830704577493021485868342
1810,46965,neutral,Chocolate's ... Tested,https://www.wsj.com/articles/SB10000872396390443675404578058103684551128
1820,58447,neutral,Drillers ... Gas,https://www.wsj.com/articles/SB10001424127887323291704578199751783044798
1830,25238,neutral,Charges ... Dropped,https://www.wsj.com/articles/SB109416546640008654
1840,27953,fear,Some ... Abroad,https://www.wsj.com/articles/SB109588088238825127
1850,20111,neutral,Weaker ... Economy,https://www.wsj.com/articles/SB108983151895463754
1860,10853,fear,"IMF, ... Budget",https://www.wsj.com/articles/SB108196845862582682
1870,40800,neutral,Yankees ... Rules,https://www.wsj.com/articles/SB10001424052748703453804575479912011346370
1880,27217,fear,Medvedev ... Euro,https://www.wsj.com/articles/SB10001424052748703650604575312961393600400
1890,57660,neutral,Thomson ... Service,https://www.wsj.com/articles/SB10001424052748704681804576018041323133966
1900,6393,fear,Greek ... Concerns,https://www.wsj.com/articles/SB10001424052748704140104575057631234463158
1910,56992,neutral,Bowl ... Odds,https://www.wsj.com/articles/SB10001424052748703766704576009611394428944
1920,11414,neutral,Asian ... Cautious,https://www.wsj.com/articles/SB10001424052748703909804575124422752172814
1930,26835,neutral,Saving ... Towers,https://www.wsj.com/articles/SB10001424052702304520804576342691798538726
1940,36220,neutral,Irish ... Nationalization,https://www.wsj.com/articles/SB10001424053111903554904576457581481155062
1950,33071,neutral,Once ... Forward,https://www.wsj.com/articles/SB10001424052702303627104576413971267185128
1960,47462,neutral,Asia ... Slide,https://www.wsj.com/articles/SB10001424053111903703604576587543564931886
1970,27285,neutral,How ... Fighters,https://www.wsj.com/articles/SB10001424052702304066504576347421319155998
1980,15257,sadness,City ... Death,https://www.wsj.com/articles/SB10001424052748704050204576218733519618932
1990,20550,sadness,Airline ... Delays,https://www.wsj.com/articles/SB10001424052748704570704576274803203806060
2000,3913,neutral,Toronto ... Record,https://www.wsj.com/articles/SB110780511992847894
2010,31856,neutral,IRS ... Rules,https://www.wsj.com/articles/SB113080567285084772
2020,32139,neutral,Dungy ... Jumping,https://www.wsj.com/articles/SB113105771106487766
2030,1267,neutral,Five ... Matter?,https://www.jacobinmag.com/2019/09/black-lives-matter-laquan-mcdonald-mike-brown-eric-garner
2040,4461,surprise,‘School ... Closing?,https://www.motherjones.com/crime-justice/2009/10/update-school-using-electric-shock/
2050,5113,anger,A ... Unconstitutional,https://www.motherjones.com/politics/2018/12/obamacare-republican-judge-unconstitutional-ruling-trump-texas/
2060,1140,fear,My ... Nature”,https://www.motherjones.com/environment/2014/03/pediatrician-believes-vaccines-are-messing-nature/
2070,248,neutral,5 ... Chief,https://www.motherjones.com/politics/2017/01/some-sketchy-things-trunps-usda-pick-did-while-governor-georgia/
2080,3024,neutral,How ... Ovation,https://www.motherjones.com/politics/2007/12/how-george-bush-could-win-standing-ovation-2/
2090,4588,neutral,Anti-Poverty ... Soars,https://www.motherjones.com/politics/2010/08/anti-poverty-assistance-soars/
2100,3513,disgust,Since ... Poor?,https://www.motherjones.com/politics/2011/08/nickel-and-dimed-afterword/
2110,8793,sadness,NBA ... Government’,https://www.dailywire.com/news/nba-commissioner-we-certainly-didnt-apologize-to-the-chinese-government/
2120,7793,neutral,Trump: ... DNC,https://www.dailywire.com/news/trump-reminder-only-evidence-russian-collusion-james-barrett/
2130,7580,fear,Johnson: ... Guns?,https://www.dailywire.com/news/johnson-what-should-we-do-about-guns-aaron-bandler/
2140,4362,neutral,WATCH: ... Narrative,https://www.dailywire.com/news/watch-wsjs-strassel-battles-leftists-trump-russia-robert-kraychik/
2150,1975,neutral,The ... Know.,https://www.dailywire.com/news/trump-russian-plant-case-falling-apart-here-are-4-ben-shapiro/
2160,7905,fear,The ... Fear,https://www.huffpost.com/entry/the-politics-of-fear_b_112672
2170,17418,neutral,Mandatory ... Advantage,https://www.huffpost.com/entry/mandatory-coverage-remove_b_283633
2180,1124,fear,Why ... Meeting?,https://www.huffpost.com/entry/why-should-you-or-anyone_b_152247
2190,1603,sadness,European ... Lyrics,https://www.huffpost.com/entry/european-union-slams-britains-brexit-plans-with-spice-girls-lyrics_n_5c4744dfe4b027c3bbc5e1cf
2200,1246,disgust,Ex-Teacher ... Student,https://www.huffpost.com/entry/ex-teacher-tad-cummins-sentenced-in-students-kidnapping_n_5c40cbdbe4b041e98ffbe064
2210,1027,neutral,New ... Therapy,https://www.huffpost.com/entry/new-york-to-ban-gay-conversion-therapy_n_5c3e359be4b0e0baf541cc96
2220,3994,fear,Michelle ... Step',https://www.huffpost.com/entry/michelle-obama-students-florida-shooting-gun-control_n_5a8e2e46e4b0161d43186435
2230,22935,neutral,"Obama, ... Voters",https://www.huffpost.com/entry/obama-trump-clash-in-final-pitches-to-midterm-voters_n_5bdf70b9e4b09d43e3200517
2240,1533,neutral,10 ... Divorce,https://www.huffpost.com/entry/10-ways-to-help-cap-the-cost-of-divorce_b_6487688
2250,13342,surprise,Are ... Optimist?,https://www.huffpost.com/entry/are-you-an-optimist_b_7417906
2260,11084,disgust,Is ... Crap?,https://www.huffpost.com/entry/is-moderation-just-an-exc_b_7143192
2270,10662,joy,Why ... Beautiful,https://www.huffpost.com/entry/why-ill-always-tell-my-daughter-shes-beautiful_b_7137506
2280,27791,neutral,The ... Things,https://www.huffpost.com/entry/the-order-of-things_b_6043028
2290,6207,anger,Bail ... Ocean,https://www.huffpost.com/entry/ebony-wilkerson-bail_n_4926181
2300,2055,anger,Why ... Listen?,https://www.huffpost.com/entry/why-dont-you-listen_b_4591311
2310,12941,fear,Iraq ... Fallujah,https://www.huffpost.com/entry/iraq-sectarian-killings-fallujah_n_575eb41fe4b0ced23ca88b78
2320,31059,anger,Syrian ... Withdrawal,https://www.huffpost.com/entry/syrian-rebels-shell-aleppo-withdrawal_n_585d1ddbe4b0de3a08f4f3c3
2330,8426,neutral,John ... Pickles,https://www.huffpost.com/entry/john-kasich-eats-pickles_n_5712ab9fe4b0018f9cba3ed0
2340,24540,neutral,3 ... People,https://www.huffpost.com/entry/3-stand-up-for-yourself-strategies-for-sensitive-people_n_59c43479e4b0cdc77330168f
2350,21922,disgust,Betsy ... Bus,https://www.huffpost.com/entry/betsy-devos-just-threw-campus-rape-survivors-under_b_59b1bf4ee4b0c50640cd65f5
2360,2182,neutral,Your ... Mobility,https://www.huffpost.com/entry/your-willingness-to-defend-the-status-quo-depends-on-your-perception-of-social-mobility_n_58814464e4b070d8cad1a387
2370,31189,sadness,Cactus ... Leave,https://www.huffpost.com/entry/cactus-canyon-gay_n_4499812
2380,10804,neutral,Wedding ... Attend,https://www.huffpost.com/entry/wedding-guest_n_3195571
2390,31754,disgust,Eating ... Finds,https://www.huffpost.com/entry/eat-slowly-hunger-calorie-consumption_n_4519656
2400,2107,disgust,Will ... Iraq?,https://www.huffpost.com/entry/will-hill-kill-bill-for-l_b_74886
2410,19790,sadness,You ... Family,https://www.huffpost.com/entry/you-may-be-divorced-but-y_b_1691637
2420,11017,fear,Chen ... Dissident,https://www.huffpost.com/entry/chen-guangcheng-escape-eu-china_n_1463948
