,emotion,headline,url
4112,neutral,Heart ... Power,https://www.newsmax.com/health/dr-oz/interval-training-heart-health-dr-oz/2018/02/07/id/842059/
183,neutral,Rep. ... Probe,https://www.newsmax.com/politics/jim-himes-russia-investigation-probe/2018/01/03/id/834932/
15597,fear,Fitness ... Problems,https://www.newsmax.com/health/dr-crandall/cholesterol-triglycerides-mens-health/2018/05/29/id/862983/
27521,fear,ABA: ... Investigate,https://www.newsmax.com/politics/us-supreme-court-kavanaugh-the-latest/2018/09/28/id/883857/
31410,disgust,Your ... Fools,https://www.newsmax.com/reagan/schools-florida-teacher/2018/11/30/id/892691/
7149,neutral,Democrats ... Infrastructure,https://www.newsmax.com/politics/us-democrats-infrastructure/2018/03/07/id/847231/
18471,fear,Cynthia ... Organization',https://www.newsmax.com/politics/cynthia-nelson-ice-us-immigration-and-customs-enforcement/2018/06/22/id/867754/
10949,neutral,8 ... Veterans,https://www.newsmax.com/fastfeatures/military-discounts-veterans-best/2018/04/13/id/854313/
4013,neutral,Pa. ... Justices,https://www.newsmax.com/politics/gop-gerrymandering-redistricting-2018/2018/02/06/id/841842/
32780,neutral,New ... Trump,https://www.newsmax.com/newsfront/california-new-laws-trump/2018/12/30/id/896280/
29075,neutral,Turkey's ... US,https://www.newsmax.com/world/globaltalk/khashoggi-death-audio/2018/10/19/id/887080/
25939,neutral,Hogan ... Trade,https://www.newsmax.com/politics/hogan-gidley-trump-trade-china/2018/09/10/id/881018/
8363,sadness,Mark ... Hanging,https://www.newsmax.com/thewire/mark-salling-autopsy-alcohol-hanging/2018/03/20/id/849657/
9373,sadness,'Clueless' ... Race,https://www.newsmax.com/politics/clueless-stacey-dash-withdraws-congressional-race/2018/03/30/id/851773/
30475,neutral,Diabetes ... Diseases,https://www.newsmax.com/health/health-news/diabetes-farxiga-multiple-disease/2018/11/12/id/890316/
4296,neutral,Tebow ... Career,https://www.newsmax.com/us/tim-tebow-noncommittal-xfl/2018/02/08/id/842326/
11618,fear,Teen ... Killer,https://www.newsmax.com/thewire/teen-killed-friend-arrested/2018/04/20/id/855780/
5504,neutral,Trump ... Dems,https://www.newsmax.com/politics/ny-times-gop-tax-cuts-trump/2018/02/20/id/844305/
21594,neutral,Former ... Advice',https://www.newsmax.com/newsfront/james-comey-fbi-tommy-vietor-barack-obama/2018/07/22/id/873130/
10530,neutral,Snacks ... Screening,https://www.newsmax.com/us/tsa-screening-snacks/2018/04/10/id/853646/
21689,sadness,R. ... Allegations,https://www.newsmax.com/thewire/r-kelly-song-i-admit-response/2018/07/23/id/873278/
195,neutral,Jim ... Predictions,https://www.newsmax.com/finance/streettalk/jim-cramer-byron-wien-fortune-2018/2018/01/03/id/834950/
2055,anger,Trump ... Forum,https://www.newsmax.com/finance/streettalk/trump-economy-trade-davos/2018/01/19/id/838258/
9404,sadness,Bolton ... Syria,https://www.newsmax.com/elilake/syria-trump-obama-war/2018/03/30/id/851782/
5989,neutral,Trump ... Conservatism,https://www.newsmax.com/limbaugh/trump-conservatives-brookhiser-conservatism/2018/02/22/id/844970/
4341,sadness,"'Justified,' ... Dies",https://www.newsmax.com/newsfront/mickey-jones-dies/2018/02/08/id/842151/
6785,neutral,Trump ... Gridiron,https://www.newsmax.com/newsfront/donald-trump-gridiron-dinner-jokes/2018/03/04/id/846665/
4499,sadness,Trump ... Allegations,https://www.newsmax.com/politics/trump-porter-wish-well/2018/02/09/id/842486/
24926,neutral,Ireland ... Pay,https://www.newsmax.com/thewire/ireland-mass-baby-burials/2018/08/27/id/878882/
33638,neutral,Obama ... Address,https://www.newsmax.com/newsfront/obama-pilgrims-syrian-refugees/2015/11/26/id/703640/
25205,neutral,How ... Evolved,https://www.newsmax.com/fastfeatures/same-sex-marriage-obama-speech/2015/07/29/id/659533/
34969,neutral,First ... Taylor,https://www.newsmax.com/fastfeatures/president-zachary-taylor-pets/2015/12/21/id/706720/
24343,neutral,Basketball ... Experiment,https://www.newsmax.com/thewire/basketball-backspin-magnus-effect/2015/07/17/id/657653/
1916,neutral,Run ... Attention,https://www.newsmax.com/politics/daniel-webster-florida-republican-john-boehner/2015/01/15/id/618828/
15233,sadness,MRC's ... Job,https://www.newsmax.com/newsmax-tv/brian-williams-return-tv-news/2015/04/28/id/641320/
18255,neutral,Facts ... Plan,https://www.newsmax.com/fastfeatures/529-plan-delaware-facts/2015/05/20/id/645708/
9254,fear,Police ... Missouri,https://www.newsmax.com/newsfront/us-killings-by-police/2015/03/12/id/629796/
10117,neutral,Huckabee ... Pyromaniac,https://www.newsmax.com/newsmax-tv/mike-huckabee-centrifuges-iran-netanyahu/2015/03/19/id/631249/
20194,neutral,Laura ... Texas,https://www.newsmax.com/thewire/laura-mccomb-body-identified-missing/2015/06/03/id/648423/
2629,neutral,Newtown ... Home,https://www.newsmax.com/us/newtown-votes-demolish-lanza/2015/01/22/id/620161/
20871,neutral,Wilbur ... Creditors,https://www.newsmax.com/finance/streettalk/wilbur-ross-greece-deal-debt/2015/06/08/id/649393/
10030,fear,Do ... Men?,https://www.newsmax.com/fastfeatures/men-prostate-cycling-health-precautions/2015/03/19/id/631137/
25741,neutral,US ... Kingpin,https://www.newsmax.com/us/us-mexico-drug-lord/2015/08/05/id/665546/
10903,sadness,Ben ... Out,https://www.newsmax.com/thewire/ben-stiller-joan-rivers-feud/2015/03/26/id/634792/
16291,neutral,Santorum ... 27,https://www.newsmax.com/politics/rick-santorum-presidential-run-announcement/2015/05/06/id/643073/
15460,joy,Pilots' ... Flights,https://www.newsmax.com/us/ipad-american-airlines-flights-grounded/2015/04/29/id/641440/
9233,neutral,Las ... Nationally,https://www.newsmax.com/fastfeatures/las-vegas-gun-laws-nationally/2015/03/16/id/630101/
7640,sadness,Former ... 48,https://www.newsmax.com/us/bkn-obit-mason/2015/02/28/id/627467/
9427,neutral,Orrin ... Talks,https://www.newsmax.com/politics/hatch-fast-track-trade-talks/2015/03/16/id/630466/
195,sadness,Jean-Paul ... Late',https://www.newsmax.com/world/globaltalk/nobel-literature-sartre-france/2015/01/03/id/616198/
8625,joy,Comedian ... Show,https://www.newsmax.com/world/middleeast/ml-israel-people-jay-leno/2015/03/09/id/628974/
17371,neutral,Mel ... Role,https://www.newsmax.com/fastfeatures/hollywood-mel-gibson/2015/05/14/id/644692/
23303,neutral,2015 ... Excellence,https://www.newsmax.com/world/asia/test1-2-3/2015/07/06/id/653616/
14691,sadness,Hot ... Son,https://www.newsmax.com/thewire/hot-car-death-phoenix/2015/04/23/id/640239/
22164,fear,Fox ... Specials,https://www.newsmax.com/us/fox-megyn-kelly-newsmakers/2015/06/22/id/651655/
32164,sadness,Relieving ... Problems,https://www.newsmax.com/health/droz/allergies-sinusitus-neti-pot-droz/2015/11/04/id/700536/
6420,neutral,Kelly ... Her?,https://www.newsmax.com/thewire/kelly-clarkson-plague-work/2015/02/19/id/625653/
7904,neutral,Caroline ... Deal,https://www.newsmax.com/newsmax-tv/caroline-glick-benjamin-netanyahu-speech/2015/03/03/id/628043/
3399,neutral,Rand ... Seizures,https://www.newsmax.com/us/rand-paul-stop-police-asset/2015/01/28/id/621336/
11172,neutral,"Academy ... $344,000",https://www.newsmax.com/scitech/space-odyssey-movie-shuttle/2015/03/29/id/635171/
4352,fear,Brian ... Iraq,https://www.newsmax.com/thewire/brian-williams-under-fire-iraq/2015/02/04/id/622781/
6289,sadness,Germany ... Dead,https://www.newsmax.com/newsfront/germany-ukraine-ceasefire-damaged/2015/02/18/id/625509/
23107,anger,Obama ... Murders,https://www.newsmax.com/chrisfreind/sc-church-shooting/2015/07/02/id/653242/
32378,neutral,Fishing ... Adults,https://www.newsmax.com/fastfeatures/fishing-in-alabama-freshwater-permit-adults/2015/11/07/id/701115/
17492,neutral,2018 ... Orleans?,https://www.newsmax.com/thewire/2018-super-bowl-minnesota/2014/05/08/id/570171/
48163,neutral,Amphibious ... Ax,https://www.newsmax.com/us/marine-corps-pentagon-cuts/2014/12/30/id/615621/
32120,neutral,Politico: ... Ambassador,https://www.newsmax.com/newsfront/al-sharpton-race-missouri-police/2014/08/22/id/590375/
26503,sadness,Desmond ... Bill,https://www.newsmax.com/thewire/desmond-tutu-assisted-suicide-support/2014/07/14/id/582602/
11455,sadness,3 ... Uprising,https://www.newsmax.com/world/africa/nigeria-violence/2014/03/27/id/562118/
32095,neutral,How ... Drugs?,https://www.newsmax.com/health/drhibberd/cholesterol-statin-drugs-lower/2014/08/22/id/590300/
36304,neutral,Founding ... Annuities,https://www.newsmax.com/joestark/annuities-crown-tax-deferral/2014/09/25/id/596810/
18722,neutral,Dick ... Benghazi,https://www.newsmax.com/newsfront/cheney-clinton-responsible-benghazi/2014/05/18/id/571945/
46538,neutral,CNN: ... Credibility',https://www.newsmax.com/us/darren-wilson-michael-brown/2014/12/15/id/613058/
48145,fear,Report: ... Crimes,https://www.newsmax.com/us/nypd-minor-offenses/2014/12/30/id/615553/
9778,joy,Kagan: ... Difference,https://www.newsmax.com/us/supreme-court-kagan/2014/03/17/id/560097/
48066,sadness,Jeb ... Board,https://www.newsmax.com/politics/us-gop-2016-bush/2014/12/29/id/615472/
45076,neutral,Reports: ... Secretary,https://www.newsmax.com/newsfront/ashton-carter-defense-secretary/2014/12/02/id/610507/
45787,fear,Shares ... 'Shattered',https://www.newsmax.com/finance/companies/shares-furniture-chain-conns/2014/12/09/id/612072/
32022,neutral,Strategist ... Effect,https://www.newsmax.com/newsmax-tv/obama-ferguson-missouri-eric-holder/2014/08/21/id/590120/
13858,neutral,Chelsea ... Career,https://www.newsmax.com/politics/chelsea-clinton-future-fast-company-foundation/2014/04/14/id/565485/
2058,neutral,Avonte ... River,https://www.newsmax.com/thewire/avonte-oquendo-remains-east/2014/01/17/id/547712/
5611,neutral,RGA ... Walker,https://www.newsmax.com/politics/scott-walker-mary-burke-wisconsin-2014-elections/2014/02/13/id/552533/
46561,fear,'Never ... Bush,https://www.newsmax.com/thewire/never-paint-wife-mother/2014/12/15/id/613013/
39782,neutral,Camel ... Smoking,https://www.newsmax.com/finance/economy/camel-reynolds-employees-smoking/2014/10/22/id/602486/
40330,neutral,Manson ... Justice,https://www.newsmax.com/us/us-los-angeles-hall/2014/10/26/id/603168/
25560,neutral,Washington ... Licenses,https://www.newsmax.com/finance/economy/legal-pot-washington-seattle/2014/07/07/id/581184/
47998,sadness,Russia ... Channel,https://www.newsmax.com/world/europe/russia-politics-television-media/2014/12/29/id/615333/
19423,anger,Air ... Site,https://www.newsmax.com/newsfront/military-fails-takeover-silo/2014/05/22/id/572749/
41154,neutral,Luminaries ... Bubbles,https://www.newsmax.com/finance/robertfeinberg/smith-baker-bank-housing/2014/10/31/id/604353/
12315,neutral,Forbes: ... Success,https://www.newsmax.com/newsfront/forbes-obamacare-healthcare-medicaid/2014/04/02/id/563208/
16816,disgust,Belgium ... Hatefest',https://www.newsmax.com/world/europe/belgium-politics-antisemitism/2014/05/04/id/569343/
48256,neutral,Media ... Losers,https://www.newsmax.com/newsmax-tv/gwyneth-paltrow-bill-cosby-pope-francis/2014/12/30/id/615670/
4436,neutral,Biden: ... Gate,https://www.newsmax.com/us/biden-unions-barbarians-gate/2014/02/05/id/551101/
47202,neutral,The ... 2016,https://www.newsmax.com/scottrasmussen/2016-elections-jeb-bush-gop/2014/12/19/id/613998/
5319,neutral,Recovery ... OECD,https://www.newsmax.com/finance/economy/recovery-economy-japan-oecd/2014/02/11/id/552082/
23314,sadness,Mosque ... Prank,https://www.newsmax.com/thewire/mosque-bacon-attack/2014/06/20/id/578420/
10093,surprise,Mega ... Drawing,https://www.newsmax.com/thewire/mega-millions-400m-jackpot/2014/03/18/id/560150/
36493,neutral,Solar ... Finds,https://www.newsmax.com/thewire/solar-system-water-older-than/2014/09/26/id/597175/
4869,neutral,Stephanie ... Lauder,https://www.newsmax.com/thewire/stephanie-seymour-supermodel-estee-lauder/2014/02/07/id/551480/
25021,neutral,Investment ... Bonanza,https://www.newsmax.com/finance/investinganalysis/banks-korea-investment-samsung/2014/07/02/id/580473/
14241,neutral,SanDisk ... Margins,https://www.newsmax.com/finance/companies/sandisk-solid-state-drive-margins/2014/04/16/id/566079/
11184,joy,Christie: ... Life,https://www.newsmax.com/us/christie-weight-loss-life-changing/2014/03/26/id/561986/
16059,neutral,2 ... Nasdaq,https://www.newsmax.com/finance/rickpendergraft/oil-nasdaq-speculators-contract/2014/04/29/id/568304/
35453,sadness,Apple ... Security,https://www.newsmax.com/finance/companies/apple-privacy-hackers-security/2014/09/18/id/595371/
665,neutral,Waxman: ... Newspapers,https://www.newsmax.com/us/henry-waxman-tribune-newspapers-looting/2014/01/07/id/545734/
37630,sadness,Mexico ... Bodies,https://www.newsmax.com/world/theamericas/lt-mexico-violence/2014/10/06/id/598782/
47210,fear,Egypt's ... Crackdown,https://www.newsmax.com/world/middleeast/ml-egypt-gays/2014/12/19/id/614032/
26986,fear,Let's ... Crisis,https://www.newsmax.com/finance/michaelcarr/student-loan-pay-debt/2014/07/16/id/582928/
9086,neutral,Technicality ... Quest,https://www.newsmax.com/us/conner-medal-honor-thwarted/2014/03/12/id/559174/
17762,neutral,Tech ... Attractive,https://www.newsmax.com/finance/streettalk/tech-selloff-takeover-target/2014/05/11/id/570708/
30699,sadness,Obama ... issues,https://www.newsmax.com/davidlimbaugh/obama-education-border-health/2014/08/12/id/588243/
46798,neutral,Jeb ... 2016,https://www.newsmax.com/ronntorossian/jeb-bush-2016-elections/2014/12/16/id/613269/
26096,neutral,Epshteyn: ... Acts,https://www.newsmax.com/us/boris-epshteyn-trump-inauguration-lineup/2016/12/29/id/766072/
2205,neutral,Mount ... Comments,https://www.newsmax.com/thewire/mount-st-marys-controversy-president-newspaper/2016/02/11/id/713802/
14155,neutral,Harrison ... Set,https://www.newsmax.com/thewire/harrison-ford-star-wars-set/2016/07/28/id/740953/
8794,neutral,Poll: ... Returns,https://www.newsmax.com/politics/voters-trump-release-tax-returns/2016/05/23/id/730265/
15043,sadness,Saudi-Led ... Killed,https://www.newsmax.com/world/globaltalk/saudi-airstrikes-yemen-middle-east/2016/08/09/id/742717/
11555,sadness,Pat ... Near,https://www.newsmax.com/thewire/pat-summitt-health-declining/2016/06/27/id/735760/
8502,neutral,Romney ... Trump,https://www.newsmax.com/politics/romney-anti-trump-third-party-challenge/2016/05/18/id/729469/
308,neutral,Legalizing ... Farming,https://www.newsmax.com/fastfeatures/industrial-hemp-farming-north-dakota/2016/01/07/id/708472/
15750,fear,Olympics: ... Inquiry,https://www.newsmax.com/newsfront/olympics-rio-swimming-ryan-lochte/2016/08/19/id/744388/
4845,fear,Antarctic ... Recalculation,https://www.newsmax.com/thewire/antarctic-melt-climate-change/2016/03/31/id/721589/
14945,anger,Dirty ... Risks,https://www.newsmax.com/charlesfaddis/pathogens-power-rail/2016/08/08/id/742582/
20313,sadness,Award-Shunning ... Ad,https://www.newsmax.com/us/dylan-nobel/2016/10/21/id/754691/
19590,neutral,Ancient ... Experts,https://www.newsmax.com/thewire/ancient-greeks-china-contact/2016/10/12/id/753060/
9625,fear,Republicans ... Loyalty,https://www.newsmax.com/politics/republicans-worry-trump-demand/2016/06/01/id/731738/
19101,anger,FBI ... Probe,https://www.newsmax.com/newsfront/nsa-contractor-arrest-hacking/2016/10/05/id/751829/
15971,neutral,CNN: ... Outlets,https://www.newsmax.com/newsfront/cnn-russian-hackers-hit/2016/08/23/id/744805/
4894,fear,Roger ... Steal',https://www.newsmax.com/politics/roger-stone-donald-trump-rnc-convention/2016/04/01/id/721920/
5160,anger,Clinton ... Speech,https://www.newsmax.com/politics/clinton-supporters-blast-tim-robbins/2016/04/05/id/722343/
22146,disgust,Gingrich ... Fences',https://www.newsmax.com/politics/newt-gingrich-trump-aggressive-first-year/2016/11/13/id/758632/
3510,neutral,Prazosin ... Know,https://www.newsmax.com/fastfeatures/prazosin-prostate-benefits-risks/2016/03/07/id/717938/
17521,anger,Sarah ... Edits,https://www.newsmax.com/newsfront/sarah-palin-katie-couric-gun-control-documentary/2016/09/14/id/748231/
5343,neutral,Trump ... Convention,https://www.newsmax.com/politics/donald-trump-gop-colorado-convention/2016/04/07/id/722812/
2717,neutral,Marlene ... PACer,https://www.newsmax.com/thewire/marlene-ricketts-chicago-cubs-owner-anti-trump/2016/02/22/id/715463/
7303,fear,Trump's ... Race,https://www.newsmax.com/politics/trump-rise-gop-nervous/2016/05/03/id/726940/
9873,neutral,NM ... Future',https://www.newsmax.com/politics/susana-martinez-trump-meeting/2016/06/04/id/732338/
25226,neutral,Honeywell ... Expectations,https://www.newsmax.com/finance/companies/honeywell-forecast-aerospace-industrials/2016/12/16/id/764357/
36959,neutral,Tax-Loss ... December,https://www.newsmax.com/finance/streettalk/tax-loss-selling-pressure/2017/12/09/id/830856/
36630,neutral,Poll: ... Shutdown,https://www.newsmax.com/politics/poll-majority-congress-avoid/2017/12/06/id/830190/
37215,neutral,Seth ... Movie,https://www.newsmax.com/thewire/seth-rogen-play-walter-cronkite-jfk/2017/12/12/id/831396/
23011,neutral,Michael ... Liberty',https://www.newsmax.com/thewire/michael-savage-statue-of-liberty/2017/08/03/id/805488/
14154,neutral,Joe ... Meeting,https://www.newsmax.com/politics/joe-manchin-tapes-trump-russia/2017/05/16/id/790528/
23559,fear,Uber ... Business,https://www.newsmax.com/finance/streettalk/uber-sale-car-leasing/2017/08/08/id/806497/
6174,sadness,Brian ... Scapegoats,https://www.newsmax.com/thewire/brian-cullinan-martha-ruiz-banned-oscars/2017/03/02/id/776472/
13596,fear,DNI ... Threat,https://www.newsmax.com/us/dan-coats-terrorism-threat/2017/05/11/id/789617/
30620,fear,Oscars ... Actions,https://www.newsmax.com/thewire/oscars-weinstein-panic-academy/2017/10/12/id/819228/
36114,neutral,Race ... Changes,https://www.newsmax.com/finance/streettalk/tax-free-bonds-tax/2017/12/01/id/829412/
31652,sadness,Ed ... Off,https://www.newsmax.com/thewire/ed-sheeran-substance-abuse/2017/10/20/id/821060/
36805,sadness,Sounding ... Loss,https://www.newsmax.com/health/droz/mehmet-oz-michael-roizen-hearing-loss/2017/12/07/id/830513/
23358,fear,Grover ... Reform,https://www.newsmax.com/politics/grover-norquist-republicans-tax-reform/2017/08/07/id/806302/
30208,neutral,White ... Speeches,https://www.newsmax.com/thewire/white-nationalists-campus-deadline-speeches/2017/10/09/id/818574/
11093,neutral,"WashPost, ... Story",https://www.newsmax.com/politics/washington-post-new-york-times-lawsuit-donald-trump/2017/04/18/id/785081/
9650,sadness,Lexi ... Penalty,https://www.newsmax.com/thewire/lexi-thompson-lpga-tournament-penalty/2017/04/03/id/782270/
21026,sadness,Arizona ... Missing,https://www.newsmax.com/thewire/arizona-swimming-hole-flash-flood/2017/07/17/id/801973/
34221,fear,"Moore, ... Self-Destruct",https://www.newsmax.com/dralvedacking/prayer-forgiveness-naacp-roy-moore/2017/11/13/id/825819/
15856,neutral,States ... Work,https://www.newsmax.com/finance/meganmcardle/states-single-payer-health/2017/05/31/id/793240/
38898,neutral,Japan's ... Shares,https://www.newsmax.com/finance/streettalk/japan-softbank-uber-shares/2017/12/28/id/834194/
15644,disgust,Kathy ... Trump,https://www.newsmax.com/newsfront/comedian-kathy-griffin-poses-head/2017/05/30/id/793167/
8809,neutral,Final ... Time),https://www.newsmax.com/thewire/final-four-gonzaga-oregon-sc/2017/03/27/id/780937/
18947,anger,59 ... Win,https://www.newsmax.com/scottrasmussen/conservatives-liberals-protest/2017/06/28/id/798672/
4369,neutral,Japan's ... Manipulation,https://www.newsmax.com/finance/streettalk/japan-abe-trump-monetary/2017/02/14/id/773651/
16049,fear,Erick ... Imminent,https://www.newsmax.com/newsfront/reince-priebus-chief-of-staff-erick-erickson/2017/06/01/id/793552/
31759,anger,In ... Line,https://www.newsmax.com/newsfront/gun-club-lgbtq-arming/2017/10/23/id/821579/
13332,joy,Paying ... Decision,https://www.newsmax.com/finance/personal-finance/paying-off-student-debt/2017/05/09/id/789085/
37952,neutral,Fed's ... Rates,https://www.newsmax.com/finance/streettalk/fed-kashkari-inflation-hike/2017/12/19/id/832687/
3736,neutral,TJ ... Signs,https://www.newsmax.com/us/ivanka-trump-brand-marshalls-t-jmaxx/2017/02/08/id/772652/
15981,neutral,Storyzy ... Quotes,https://www.newsmax.com/thewire/storyzy-fake-news-verify-quotes/2017/06/01/id/793610/
16399,neutral,Ebola ... Agreement,https://www.newsmax.com/thewire/ebola-quarantine-settlement-christie/2017/06/05/id/794190/
30564,fear,Wilbur ... Results',https://www.newsmax.com/newsmax-tv/commerce-secretary-wilbur-ross-congress/2017/10/12/id/819395/
27818,neutral,Democratic ... Bill,https://www.newsmax.com/politics/jim-langevin-breach-notification-bill-equifax-safety/2017/09/18/id/814252/
38437,sadness,Pope ... Rites,https://www.newsmax.com/thewire/pope-francis-bernard-law-prays-final/2017/12/22/id/833299/
5396,fear,Trump ... Operation',https://www.newsmax.com/politics/trump-undocumented-immigrant-removal/2017/02/23/id/775241/
31563,disgust,Goodell's ... Tool,https://www.newsmax.com/tomborelli/cbs-nfl-20th-century-fox/2017/10/20/id/821169/
30964,fear,Partisan ... Shutdown,https://www.newsmax.com/thewire/partisan-clash-obamacare-government/2017/10/16/id/820038/
16949,surprise,WH ... Testimony,https://www.newsmax.com/politics/trump-infrastructure-week-overshadowed-comey/2017/06/09/id/795110/
11219,disgust,Q-Poll: ... Roles,https://www.newsmax.com/politics/advisers-white-house-ivanka-trump-jared-kushner/2017/04/19/id/785324/
543,sadness,Venezuela ... Delayed,https://www.newsmax.com/world/theamericas/venezuela-chavez-cancer-inauguration/2013/01/05/id/470167/
7192,fear,Questions ... Probe,https://www.newsmax.com/newsfront/syria-chemical-weapons-probe/2013/03/20/id/495603/
32666,disgust,New ... Memories,https://www.newsmax.com/health/health-wire/memory-killing-drug-ptsd/2013/10/23/id/532699/
35145,neutral,New ... 2',https://www.newsmax.com/thewire/new-batsuit-designed-ben-affleck/2013/11/12/id/536089/
29354,fear,What ... Take?,https://www.newsmax.com/health/dr-hibberd/anxiety-medication-drugs-addiction/2013/09/25/id/527598/
192,neutral,Experts: ... Brief,https://www.newsmax.com/finance/markets/market-relief-brief/2013/01/02/id/469789/
4589,sadness,Moody’s: ... Deal,https://www.newsmax.com/finance/financenews/moody-s-wells-fargo-credit-heinz/2013/02/25/id/491939/
29919,neutral,China ... Link,https://www.newsmax.com/thewire/china-fish-fossil-face/2013/09/30/id/528307/
19136,neutral,What's ... Pain?,https://www.newsmax.com/health/dr-hibberd/arthritis-pain-treatment/2013/07/01/id/512841/
36944,disgust,Germ-Killing ... Hygiene,https://www.newsmax.com/health/health-news/germ-killing-bacteria-surface/2013/11/27/id/539060/
1761,fear,NRA's ... Hearing,https://www.newsmax.com/newsfront/nra-lapierre-guns-schools/2013/01/29/id/487997/
40659,neutral,Japanese ... World,https://www.newsmax.com/finance/markets/japanese-women-leadership-world/2013/12/31/id/544518/
25981,fear,Bank ... Tapering,https://www.newsmax.com/finance/financenews/fed-tapering-stimulus-economy/2013/08/27/id/522491/
28175,neutral,Fiat ... FT,https://www.newsmax.com/finance/companies/fiat-chrysler-initial-public-offering-share/2013/09/16/id/525831/
