,url,emotion,headline,source,yr,sentiment,rel
38860,https://www.foxbusiness.com/markets/money-spent-on-lobbying-skyrocketed-during-tax-overhaul,anger,Money ... overhaul,fox,2018,-1,1
38866,https://www.foxbusiness.com/markets/unitedhealths-quarterly-profit-rises-30-6-pct,joy,UnitedHealth's ... pct,fox,2018,1,1
38887,https://www.foxbusiness.com/markets/the-latest-european-shares-open-lower-after-us-led-slide,sadness,The ... slide,fox,2018,-1,1
38901,https://www.foxbusiness.com/markets/why-3ms-earnings-report-isnt-a-reason-to-panic,fear,Why ... Panic,fox,2018,-1,1
38918,https://www.foxbusiness.com/markets/dow-falls-500-points-as-threat-of-trade-war-roils-markets,fear,Dow ... markets,fox,2018,-1,1
38925,https://www.foxbusiness.com/markets/us-jobless-claims-fall-as-labor-market-strengthens,sadness,US ... strengthens,fox,2018,-1,1
38937,https://www.foxbusiness.com/markets/3-reasons-apples-iphone-x-underperformed,sadness,3 ... Underperformed,fox,2018,-1,1
38942,https://www.foxbusiness.com/markets/under-armour-tops-revenue-estimates-on-overseas-sales,neutral,Under ... sales,fox,2018,0,1
38964,https://www.foxbusiness.com/markets/oil-markets-brace-for-supply-constraints,neutral,Oil ... Constraints,fox,2018,0,1
38987,https://www.foxbusiness.com/markets/why-square-inc-stock-jumped-tuesday,surprise,Why ... Tuesday,fox,2018,0,1
39011,https://www.foxbusiness.com/markets/better-buy-veeva-systems-veev-vs-salesforce-crm,neutral,Better ... (CRM),fox,2018,0,1
39014,https://www.foxbusiness.com/markets/weibo-corp-tripled-q4-earnings,surprise,Weibo ... Earnings,fox,2018,0,1
39017,https://www.foxbusiness.com/features/european-stocks-follow-asian-indexes-higher,neutral,European ... Higher,fox,2018,0,1
39055,https://www.foxbusiness.com/features/market-snapshot-stocks-rise-but-bank-weakness-keeps-dow-from-retaking-26000,neutral,"MARKET ... 26,000",fox,2018,0,1
39076,https://www.foxbusiness.com/markets/cme-group-slashes-costs-sets-eyes-on-bitcoin,neutral,CME ... Bitcoin,fox,2018,0,1
39078,https://www.foxbusiness.com/features/robey-warshaw-profit-surges-after-major-deals-reuters,joy,Robey ... -Reuters,fox,2018,1,1
39084,https://www.foxbusiness.com/markets/mcdonalds-removes-happy-meals-from-value-menu,joy,McDonald's ... menu,fox,2018,1,1
39091,https://www.foxbusiness.com/markets/3-media-stocks-to-buy-right-now,neutral,3 ... Now,fox,2018,0,1
39099,https://www.foxbusiness.com/markets/asian-shares-rise-as-trade-fears-on-trumps-tariffs-ease,fear,Asian ... ease,fox,2018,-1,1
39119,https://www.foxbusiness.com/markets/irish-pm-brexit-is-undermining-n-irelands-peace-accord,fear,Irish ... accord,fox,2018,-1,1
39150,https://www.foxbusiness.com/markets/asian-shares-mixed-on-renewed-jitters-over-trade-friction,fear,Asian ... friction,fox,2018,-1,1
39155,https://www.foxbusiness.com/markets/why-semtech-stock-jumped-thursday,surprise,Why ... Thursday,fox,2018,0,1
39156,https://www.foxbusiness.com/markets/better-marijuana-stock-aurora-cannabis-vs-canntrust-holdings,neutral,Better ... Holdings,fox,2018,0,1
39157,https://www.foxbusiness.com/markets/forex-trading-signal-services-how-to-get-best-results,neutral,Forex ... Results,fox,2018,0,1
39166,https://www.foxbusiness.com/markets/why-intel-tesla-and-delta-air-lines-slumped-today,neutral,Why ... Today,fox,2018,0,1
39172,https://www.foxbusiness.com/markets/smart-beta-to-enhance-the-passive-bond-etf-investing-experience,neutral,Smart ... Experience,fox,2018,0,1
39187,https://www.foxbusiness.com/markets/surprise-tax-reform-didnt-kill-these-2-obama-era-taxes,surprise,Surprise! ... Taxes,fox,2018,0,1
39189,https://www.foxbusiness.com/markets/ship-manager-indian-tankers-crew-retakes-ship-from-pirates,neutral,Ship ... pirates,fox,2018,0,1
39195,https://www.foxbusiness.com/markets/tesla-ramps-up-efforts-to-sell-its-high-end-model-3-cars,neutral,Tesla ... Cars,fox,2018,0,1
39196,https://www.foxbusiness.com/markets/autozone-earnings-3-things-to-watch,neutral,AutoZone ... Watch,fox,2018,0,1
39199,https://www.foxbusiness.com/markets/eurozone-inflation-falls-again-despite-decade-high-growth,neutral,Eurozone ... growth,fox,2018,0,1
39202,https://www.foxbusiness.com/markets/could-wideopenwest-stock-double-from-here,neutral,Could ... Here?,fox,2018,0,1
39210,https://www.foxbusiness.com/markets/a-foolish-take-mobile-gaming-revenue-could-top-100-billion-by-2021,neutral,A ... 2021,fox,2018,0,1
39215,https://www.foxbusiness.com/markets/why-irobot-corporation-stock-soared-43-2-in-august,surprise,Why ... August,fox,2018,0,1
39227,https://www.foxbusiness.com/markets/winning-bid-tossed-in-pennsylvania-casino-license-auction,neutral,Winning ... auction,fox,2018,0,1
39229,https://www.foxbusiness.com/markets/home-depot-delivers-mixed-1q-results,neutral,Home ... results,fox,2018,0,1
39231,https://www.foxbusiness.com/markets/worthington-industries-wor-q2-2019-earnings-conference-call-transcript,neutral,Worthington ... Transcript,fox,2018,0,1
39247,https://www.foxbusiness.com/markets/trump-fires-rex-tillerson-defense-stocks-rise,fear,Trump ... Rise,fox,2018,-1,1
39255,https://www.foxbusiness.com/markets/why-oclaro-inc-stock-popped-today,surprise,Why ... Today,fox,2018,0,1
39291,https://www.foxbusiness.com/markets/donegal-group-dgica-q4-2017-earnings-conference-call-transcript,neutral,Donegal ... Transcript,fox,2018,0,1
39303,https://www.foxbusiness.com/features/treasurys-steady-after-fed-meeting-treasury-announcement,neutral,Treasurys ... Announcement,fox,2018,0,1
39321,https://www.foxbusiness.com/markets/us-stocks-tick-higher-but-trade-worries-stop-an-early-rally,fear,US ... rally,fox,2018,-1,1
39332,https://www.foxbusiness.com/markets/amazon-facebook-google-stifling-entrepreneurs-zuckerbergs-mentor-says,anger,"Amazon, ... says",fox,2018,-1,1
39337,https://www.foxbusiness.com/markets/tesla-inc-expects-major-growth-in-energy-storage,neutral,"Tesla, ... Storage",fox,2018,0,1
39360,https://www.foxbusiness.com/features/europe-markets-european-stocks-drop-as-retailers-fall-euro-leaps-on-hawkish-ecb-prospects,fear,EUROPE ... Prospects,fox,2018,-1,1
39369,https://www.foxbusiness.com/markets/unitedhealth-profit-beats-on-strong-growth-across-businesses,joy,UnitedHealth ... businesses,fox,2018,1,1
39370,https://www.foxbusiness.com/markets/new-zealand-dairy-giant-posts-loss-after-china-stake-sours,sadness,New ... sours,fox,2018,-1,1
39371,https://www.foxbusiness.com/markets/stock-rebound-may-continue-ahead-of-eu-tariff-decision,neutral,Dow ... allies,fox,2018,0,1
39388,https://www.foxbusiness.com/markets/etf-of-the-week-proshares-equities-for-rising-rates-etf-eqrr,neutral,ETF ... (EQRR),fox,2018,0,1
39392,https://www.foxbusiness.com/markets/asian-shares-mostly-higher-japans-nikkei-up-on-weak-yen,joy,Asian ... yen,fox,2018,1,1
39393,https://www.foxbusiness.com/markets/calumet-specialty-products-partners-earnings-werent-impressive-but,sadness,Calumet ... but...,fox,2018,-1,1
39411,https://www.foxbusiness.com/markets/pfizer-riding-tax-changes-puts-up-huge-4q-profit,joy,"Pfizer, ... profit",fox,2018,1,1
39430,https://www.foxbusiness.com/markets/robert-half-q2-earnings-firing-on-all-cylinders,sadness,Robert ... Cylinders,fox,2018,-1,1
39431,https://www.foxbusiness.com/markets/gold-rises-as-equity-sell-off-spurs-safe-haven-buying,joy,Gold ... buying,fox,2018,1,1
39440,https://www.foxbusiness.com/markets/struggling-uk-retailers-hoping-squeeze-on-incomes-ending,fear,Struggling ... ending,fox,2018,-1,1
39453,https://www.foxbusiness.com/markets/bullish-on-amazon-youll-love-these-3-stocks,neutral,Bullish ... Stocks,fox,2018,0,1
39457,https://www.foxbusiness.com/markets/4-signs-google-wants-to-bury-gopro,neutral,4 ... GoPro,fox,2018,0,1
39464,https://www.foxbusiness.com/markets/why-restoration-hardware-holdings-stock-plunged-today,surprise,Why ... Today,fox,2018,0,1
39478,https://www.foxbusiness.com/markets/result-of-us-china-talks-short-term-relief-long-term-risks,neutral,Result ... risks,fox,2018,0,1
39490,https://www.foxbusiness.com/markets/chesapeake-2q-earnings-snapshot,neutral,Chesapeake: ... Snapshot,fox,2018,0,1
39491,https://www.foxbusiness.com/markets/stock-futures-trade-cautiously-following-weekly-loss,fear,US ... slide,fox,2018,-1,1
39493,https://www.foxbusiness.com/markets/sempra-energys-recent-acquisition-didnt-show-up-in-its-earnings,neutral,Sempra ... Earnings,fox,2018,0,1
39495,https://www.foxbusiness.com/markets/oil-industry-should-prevent-prices-from-spiking-liberty-oilfield-services-ceo,neutral,Oil ... CEO,fox,2018,0,1
39527,https://www.foxbusiness.com/markets/oil-prices-spike-after-saudi-halts-shipments-after-attack,anger,Oil ... attack,fox,2018,-1,1
39531,https://www.foxbusiness.com/markets/mobile-mini-inc-mini-q3-2018-earnings-conference-call-transcript,neutral,Mobile ... Transcript,fox,2018,0,1
39535,https://www.foxbusiness.com/markets/3-top-oil-stocks-to-buy-in-december,neutral,3 ... December,fox,2018,0,1
39538,https://www.foxbusiness.com/markets/german-govt-mulls-forcing-automakers-to-upgrade-diesel-cars,neutral,German ... cars,fox,2018,0,1
39540,https://www.foxbusiness.com/markets/investors-real-estate-trust-iret-q2-2019-earnings-conference-call-transcript,neutral,Investors ... Transcript,fox,2018,0,1
39561,https://www.foxbusiness.com/markets/better-buy-celgene-corporation-vs-gilead-sciences,neutral,Better ... Sciences,fox,2018,0,1
39566,https://www.foxbusiness.com/markets/why-smart-final-stores-inc-stock-popped-thursday,surprise,Why ... Thursday,fox,2018,0,1
39591,https://www.foxbusiness.com/markets/asian-shares-mixed-ahead-of-us-inflation-lunar-new-year,neutral,Asian ... Year,fox,2018,0,1
39599,https://www.foxbusiness.com/markets/3-dividend-stocks-that-are-too-unsafe,neutral,3 ... Unsafe,fox,2018,0,1
39601,https://www.foxbusiness.com/markets/oil-prices-steady-after-shake-out-on-supply-worries,fear,Brent ... weighs,fox,2018,-1,1
39605,https://www.foxbusiness.com/markets/red-robin-eliminates-bus-boys-as-restaurants-combat-minimum-wage-hikes,neutral,Red ... hikes,fox,2018,0,1
39607,https://www.foxbusiness.com/markets/us-stocks-close-higher-as-market-sets-latest-record-high,neutral,US ... high,fox,2018,0,1
39613,https://www.foxbusiness.com/markets/broadcoms-tan-cbss-moonves-among-highest-paid-ceos,surprise,Broadcom's ... CEOs,fox,2018,0,1
39616,https://www.foxbusiness.com/markets/bitcoin-extends-slide-after-dismal-january,sadness,Bitcoin ... January,fox,2018,-1,1
39623,https://www.foxbusiness.com/features/cbs-2q-net-income-up-as-ceo-faces-sexual-misconduct-probe,disgust,CBS' ... probe,fox,2018,-1,1
39671,https://www.foxbusiness.com/markets/oil-falls-on-opecs-announced-output-rise,sadness,Oil ... rise,fox,2018,-1,1
39675,https://www.foxbusiness.com/markets/improving-medical-device-tracking-a-slow-imperfect-process,neutral,Improving ... process,fox,2018,0,1
39677,https://www.foxbusiness.com/markets/dow-sp-500-having-worst-month-since-1931-as-grinch-hits-wall-st,disgust,"Dow, ... record",fox,2018,-1,1
39683,https://www.foxbusiness.com/markets/lockheed-martin-beats-earnings-wins-upgrade,neutral,Lockheed ... Upgrade,fox,2018,0,1
39685,https://www.foxbusiness.com/markets/etsys-growth-accelerates-in-its-fourth-quarter,joy,Etsy's ... Quarter,fox,2018,1,1
39695,https://www.foxbusiness.com/markets/stock-futures-mostly-higher-ahead-of-earnings-reports,joy,Stocks ... reports,fox,2018,1,1
39734,https://www.foxbusiness.com/markets/amazon-sinks-as-revenue-growth-disappoints,sadness,Amazon ... disappoints,fox,2018,-1,1
39746,https://www.foxbusiness.com/markets/why-crispr-therapeutics-ag-stock-bolted-higher-in-january,surprise,Why ... January,fox,2018,0,1
39754,https://www.foxbusiness.com/markets/better-buy-abbvie-inc-vs-johnson-johnson,neutral,Better ... Johnson,fox,2018,0,1
