emotion,headline,url
neutral,Two ... Secrètes,https://slate.com/culture/2005/01/two-or-three-things-i-know-about-choses-secretes.html
neutral,Mosqued ... Gunmen,https://slate.com/news-and-politics/2005/01/mosqued-gunmen.html
neutral,What ... consensus?,https://slate.com/culture/2005/01/what-critical-consensus.html
neutral,Enter ... Critic,https://slate.com/culture/2005/01/enter-the-critic.html
neutral,The ... Preemies,https://slate.com/technology/2005/01/the-price-of-preemies.html
joy,Hip ... Hooray,https://slate.com/culture/2005/01/hip-hipster-hooray.html
neutral,Global ... Dis-ease,https://slate.com/news-and-politics/2005/01/global-dis-ease.html
neutral,Waiting ... Scott,https://slate.com/culture/2005/01/waiting-for-tony-scott.html
neutral,Make ... So,https://slate.com/culture/2005/01/make-it-not-so.html
anger,Bloody ... Kitchen,https://slate.com/human-interest/2005/01/can-the-brits-save-food-tv.html
neutral,Free-Lunch ... Insurance,https://slate.com/business/2005/01/a-simple-idea-for-insuring-some-of-the-poor.html
neutral,Torture ... Times,https://slate.com/news-and-politics/2005/01/torture-times.html
neutral,Undiplomatic ... Immunity,https://slate.com/news-and-politics/2005/01/did-al-gonzales-say-the-president-can-authorize-torture.html
neutral,The ... Federalists,https://slate.com/news-and-politics/2005/01/new-blue-federalists.html
neutral,Why ... Fertilizer?,https://slate.com/news-and-politics/2005/01/why-we-use-explosive-fertilizer.html
neutral,Bill ... Replies,https://slate.com/news-and-politics/2005/01/bill-keller-replies.html
neutral,Does ... Matter?,https://slate.com/news-and-politics/2005/01/does-size-matter.html
neutral,The ... Hellboy,https://slate.com/culture/2005/01/the-heavenly-hellboy.html
neutral,A ... Response,https://slate.com/culture/2005/01/a-cowpoke-s-response.html
surprise,That’s ... Think!,https://slate.com/culture/2005/01/that-s-what-you-think.html
neutral,Lighten ... Up,https://slate.com/culture/2005/01/songs-you-ve-got-to-hear.html
anger,In ... Everyone,https://slate.com/culture/2005/01/in-front-of-god-and-everyone.html
neutral,The ... Arrive,https://slate.com/culture/2005/01/the-newbies-arrive.html
joy,A ... Criticism,https://slate.com/culture/2005/01/a-positively-final-note-on-the-state-of-film-criticism.html
neutral,The ... Home,https://slate.com/culture/2005/01/the-old-critics-home.html
neutral,The ... Flight,https://slate.com/culture/2005/01/the-theory-of-flight.html
sadness,Why ... Kill,https://slate.com/news-and-politics/2005/01/courts-get-a-second-look-at-andrea-yates.html
neutral,Halabja ... Redux,https://slate.com/news-and-politics/2005/01/halabja-denial-redux.html
neutral,Can ... In?,https://slate.com/human-interest/2005/01/can-i-come-in.html
anger,Foul ... Play,https://slate.com/culture/2005/01/how-a-slate-scientist-changed-the-nba-forever.html
joy,The ... Givers,https://slate.com/culture/2005/01/tsunami-relief-online.html
neutral,The ... Phoenix,https://slate.com/culture/2005/01/the-genius-of-flight-of-the-phoenix.html
neutral,The ... Book,https://slate.com/business/2005/01/the-ceo-english-phrase-book.html
neutral,Favre ... Heaven,https://slate.com/culture/2005/01/why-journalists-deify-the-green-bay-packers-quarterback.html
joy,Spidey ... Love,https://slate.com/culture/2005/01/spidey-love.html
joy,A ... Christmas,https://slate.com/culture/2005/01/a-very-tarantino-christmas.html
neutral,Brooks ... Hood,https://slate.com/culture/2005/01/brooks-in-the-hood.html
neutral,Why ... Triumphant?,https://slate.com/culture/2005/01/why-should-rwanda-be-triumphant.html
disgust,The ... Education,https://slate.com/culture/2005/01/the-superficiality-of-bad-education.html
neutral,Eastwood’s ... Darkroom,https://slate.com/culture/2005/01/eastwood-s-darkroom.html
neutral,A ... Huckabees,https://slate.com/culture/2005/01/a-final-word-on-huckabees.html
neutral,I ... Dogville,https://slate.com/culture/2005/01/i-heart-dogville.html
neutral,Flight ... Club,https://slate.com/culture/2005/01/2004-the-year-in-movies-flight-of-the-movie-club.html
neutral,Stand ... Memos,https://slate.com/news-and-politics/2005/01/stand-by-your-memos.html
neutral,The ... Noise,https://slate.com/news-and-politics/2005/01/the-critics-on-this-week-s-one-new-movie.html
joy,Condi’s ... Victory,https://slate.com/news-and-politics/2005/01/condi-s-first-victory.html
neutral,The ... Bank,https://slate.com/news-and-politics/2005/01/the-cia-and-riggs-bank.html
sadness,I ... Passion,https://slate.com/culture/2005/01/i-heart-the-passion.html
neutral,False ... Passion,https://slate.com/culture/2005/01/false-passion.html
fear,Interrogation ... Interrogation,https://slate.com/news-and-politics/2005/01/interrogation-interrogation.html
neutral,Army ... Guard,https://slate.com/news-and-politics/2005/01/army-reserve-vs-national-guard.html
neutral,Detain. ... Detain.,https://slate.com/news-and-politics/2005/01/detain-detain.html
neutral,Rough ... Diamond,https://slate.com/news-and-politics/2005/01/rough-diamond.html
neutral,Abbas ... Ascends,https://slate.com/news-and-politics/2005/01/abbas-ascends.html
neutral,One ... …,https://slate.com/news-and-politics/2005/01/one-more-from-bill-keller.html
neutral,Two ... Elections,https://slate.com/news-and-politics/2005/01/why-iraq-s-vote-is-not-like-palestine-s.html
neutral,Challenging ... Decision-Making,https://slate.com/culture/2005/01/challenging-the-standard-model-of-decision-making.html
neutral,The ... Housewives,https://slate.com/culture/2005/01/fay-weldon-s-mantrapped.html
neutral,What ... Intuition?,https://slate.com/culture/2005/01/what-do-we-mean-when-we-talk-about-intuition.html
neutral,Bush:Reagan ... …,https://slate.com/news-and-politics/2005/01/fraysters-draw-presidential-analogies.html
neutral,Send ... God,https://slate.com/human-interest/2005/01/god-s-gone-too-far-this-time.html
neutral,Power ... Plays,https://slate.com/news-and-politics/2005/01/power-plays.html
neutral,The ... Welch,https://slate.com/news-and-politics/2005/01/slate-readers-make-their-choice-for-homeland-security-chief.html
neutral,Pitching ... Life,https://slate.com/news-and-politics/2005/01/slate-on-day-to-day-for-the-week-of-jan-10.html
neutral,Do ... Commando?,https://slate.com/news-and-politics/2005/01/do-commandos-go-commando.html
neutral,The ... Bank,https://slate.com/news-and-politics/2005/01/the-spook-bank.html
disgust,"Porn, ... Again",https://slate.com/business/2005/01/selling-burgers-with-porn.html
surprise,“Great ... Hope”?,https://slate.com/news-and-politics/2005/01/can-mahmoud-abbas-deliver-the-goods.html
neutral,Get ... Smart!,https://slate.com/news-and-politics/2005/01/spy-vs-spy-vs-scalia.html
neutral,Not ... Dan,https://slate.com/news-and-politics/2005/01/not-so-steely-dan.html
neutral,Linguists ... Wild!,https://slate.com/news-and-politics/2005/01/linguists-gone-wild.html
neutral,The ... Decision-Making,https://slate.com/culture/2005/01/the-virtues-of-group-decision-making.html
neutral,“The ... Island”,https://slate.com/culture/2005/01/the-island.html
neutral,The ... Experts,https://slate.com/culture/2005/01/the-biases-and-delusions-of-experts.html
neutral,Dispatch ... Aceh,https://slate.com/news-and-politics/2005/01/the-incredible-generosity-of-the-tsunami-s-survivors.html
neutral,Gonzales’ ... Client,https://slate.com/news-and-politics/2005/01/who-is-alberto-gonzales-client.html
fear,Investigating ... Investigators,https://slate.com/news-and-politics/2005/01/investigating-the-investigators.html
neutral,Lords ... Rings,https://slate.com/technology/2005/01/life-arrives-on-a-moon-of-saturn.html
neutral,Some ... Chertoff,https://slate.com/news-and-politics/2005/01/michael-chertoff-here-is-your-first-question.html
neutral,Pundit ... Hire,https://slate.com/news-and-politics/2005/01/can-liberals-shill-for-the-president-too.html
neutral,Which ... Matter?,https://slate.com/culture/2005/01/which-information-really-does-matter.html
neutral,The ... Show,https://slate.com/culture/2005/01/late-ellington.html
disgust,Kosher ... Ham,https://slate.com/culture/2005/01/al-pacino-in-the-merchant-of-venice.html
anger,Fold ... Fold,https://slate.com/culture/2005/01/espn-s-overblown-new-poker-series.html
neutral,How ... Environment,https://slate.com/culture/2005/01/blink-and-the-wisdom-of-crowds-how-to-improve-the-decisionmaking-environment.html
neutral,Cartoons ... Cartoons,https://slate.com/news-and-politics/2005/01/cartoons.html
neutral,Chertoff ... Running,https://slate.com/news-and-politics/2005/01/chertoff-and-running.html
neutral,Who ... Harvard?,https://slate.com/business/2005/01/corporations-shun-the-ivy-league.html
neutral,Dave ... Barry,https://slate.com/news-and-politics/2005/01/an-elegy-for-dave-barry.html
neutral,What’s ... Slate,https://slate.com/news-and-politics/2005/01/what-s-in-slate.html
neutral,It’s ... Folks!,https://slate.com/news-and-politics/2005/01/it-s-showtime-and-hbo-folks.html
neutral,Prisoners ... Mudslides?,https://slate.com/news-and-politics/2005/01/why-prisoners-are-fighting-mudslides.html
neutral,Hold ... ’Em,https://slate.com/technology/2005/01/how-to-cheat-at-online-poker.html
neutral,The ... Gap,https://slate.com/news-and-politics/2005/01/the-wristband-gap.html
neutral,Citizen ... Jordan,https://slate.com/culture/2005/01/michael-jordan-s-soulless-retirement.html
anger,The ... Sharks,https://slate.com/culture/2005/01/the-sweetness-of-in-good-company.html
neutral,Don’t ... American,https://slate.com/business/2005/01/why-europeans-hate-wal-mart-and-mcdonald-s.html
neutral,CJR ... Pricks,https://slate.com/news-and-politics/2005/01/cjr-pricks.html
neutral,How ... Whales,https://slate.com/news-and-politics/2005/01/how-to-count-right-whales.html
neutral,Supremely ... Confusing,https://slate.com/news-and-politics/2005/01/supremely-confusing.html
surprise,Pro ... See?,https://slate.com/news-and-politics/2005/01/pro-se-can-you-see.html
surprise,Thin ... Beholder,https://slate.com/human-interest/2005/01/thinisin-the-eye-of-the-beholder.html
neutral,Bush’s ... Term,https://slate.com/news-and-politics/2005/01/bush-s-second-term.html
neutral,User ... Policy,https://slate.com/news-and-politics/2005/01/slate-user-agreement-and-privacy-policy.html
sadness,FBI ... Found,https://slate.com/news-and-politics/2005/01/fbi-computer-error-system-not-found.html
neutral,The ... Emancipator?,https://slate.com/news-and-politics/2005/01/the-gay-emancipator.html
sadness,Mourning ... Elektra,https://slate.com/news-and-politics/2005/01/the-critics-on-jennifer-garner-s-new-movie.html
neutral,Tsunami ... Annan,https://slate.com/news-and-politics/2005/01/tsunami-tour-with-kofi-annan.html
joy,A ... Führer,https://slate.com/news-and-politics/2005/01/a-royal-fuhrer.html
anger,Gotcha! ... Ghraib,https://slate.com/news-and-politics/2005/01/gotcha-graner-guilty-on-ghraib.html
neutral,Charles ... Discharged,https://slate.com/news-and-politics/2005/01/charles-discharged.html
disgust,Prelude ... Kiss,https://slate.com/news-and-politics/2005/01/prelude-to-a-kiss.html
neutral,Off-the-Books ... Accountability?,https://slate.com/news-and-politics/2005/01/off-the-books-accountability.html
disgust,Tough ... Strip,https://slate.com/news-and-politics/2005/01/tough-strip.html
neutral,George ... Philosopher-King,https://slate.com/news-and-politics/2005/01/george-w-bush-philosopher-king.html
neutral,Buzzword ... Responsibility,https://slate.com/news-and-politics/2005/01/buzzword-of-the-week-corporate-social-responsibility.html
neutral,Marjorie ... (1958-2005),https://slate.com/news-and-politics/2005/01/marjorie-williams-1958-2005.html
neutral,Remembering ... Williams,https://slate.com/news-and-politics/2005/01/remembering-marjorie-williams.html
neutral,Bland ... Justice,https://slate.com/culture/2005/01/mark-tushnet-s-a-court-divided.html
sadness,How ... Inaugural,https://slate.com/news-and-politics/2005/01/how-not-to-give-an-inaugural-address.html
neutral,Rice ... Dice,https://slate.com/news-and-politics/2005/01/john-kerry-nails-condoleezza-rice-on-iraq.html
neutral,To ... For?,https://slate.com/news-and-politics/2005/01/the-supreme-court-ponders-how-bad-a-bad-lawyer-must-be.html
neutral,Read ... Maggot!,https://slate.com/news-and-politics/2005/01/slate-on-day-to-day-for-the-week-of-jan-17.html
disgust,How ... Name,https://slate.com/news-and-politics/2005/01/how-embarrass-minn-got-its-name.html
sadness,Ask ... Rotten,https://slate.com/news-and-politics/2005/01/why-inaugural-addresses-are-so-rotten.html
neutral,Tryptophan ... Tours,https://slate.com/news-and-politics/2005/01/tryptophan-tours.html
neutral,Form ... Function,https://slate.com/news-and-politics/2005/01/efficient-posting-in-the-fray.html
neutral,Bishop ... Taken,https://slate.com/news-and-politics/2005/01/bishop-taken.html
disgust,“Meditation ... Moth”,https://slate.com/culture/2005/01/meditation-on-a-moth.html
anger,Attack ... Machines,https://slate.com/business/2005/01/when-your-stockbroker-is-a-robot.html
neutral,The ... Shows,https://slate.com/news-and-politics/2005/01/tweels-of-fortune.html
neutral,Rice-a-Crony ... Rice-a-Crony,https://slate.com/news-and-politics/2005/01/rice-a-crony.html
neutral,How ... Chill,https://slate.com/news-and-politics/2005/01/how-they-measure-wind-chill.html
neutral,The ... Employee,https://slate.com/news-and-politics/2005/01/the-accidental-employee.html
surprise,The ... Festival,https://slate.com/news-and-politics/2005/01/the-sundance-film-festival.html
joy,Bush’s ... Address,https://slate.com/news-and-politics/2005/01/bush-s-pre-inaugural-address.html
neutral,The ... Jar,https://slate.com/news-and-politics/2005/01/scenes-from-the-tsunami-relief-effort-the-bell-jar.html
anger,Freedom ... Press,https://slate.com/news-and-politics/2005/01/at-an-inaugural-ball-freedom-from-the-press.html
neutral,Give ... What?,https://slate.com/news-and-politics/2005/01/what-does-freedom-mean-to-bush.html
neutral,Command ... Presence,https://slate.com/news-and-politics/2005/01/what-a-marine-drill-instructor-taught-me.html
neutral,“Gentleman ... More,https://slate.com/news-and-politics/2005/01/britain-s-prisoner-abuse-scandal.html
joy,Why ... Chief”?,https://slate.com/news-and-politics/2005/01/why-hail-to-the-chief.html
neutral,The ... Nation,https://slate.com/news-and-politics/2005/01/the-first-nonsmoking-nation.html
neutral,No ... Gonzales,https://slate.com/news-and-politics/2005/01/no-speedy-gonzales.html
neutral,Zero-Sum ... Charity,https://slate.com/business/2005/01/does-tsunami-relief-harm-u-s-charities.html
neutral,Class ... 2005,https://slate.com/culture/2005/01/the-record-that-has-critics-flipping-out.html
disgust,Sowing ... Oaths,https://slate.com/news-and-politics/2005/01/sowing-his-oaths.html
neutral,"Lincoln, ... Gay?",https://slate.com/news-and-politics/2005/01/more-proof-lincoln-was-gay.html
disgust,Abuse ... Trust,https://slate.com/news-and-politics/2005/01/abuse-of-trust.html
joy,Beautiful ... Science,https://slate.com/news-and-politics/2005/01/beautiful-boxersweet-science.html
neutral,You ... Thin,https://slate.com/technology/2005/01/a-skinny-new-audio-format.html
neutral,"Osama, ... Agent!",https://slate.com/news-and-politics/2005/01/osama-call-your-agent.html
neutral,Don’t ... Head,https://slate.com/technology/2005/01/the-pseudo-feminist-show-trial-of-larry-summers.html
neutral,The ... Installment,https://slate.com/business/2005/01/the-ceo-english-phrasebook.html
neutral,Shalaan ... Cash,https://slate.com/news-and-politics/2005/01/shalaan-out-the-cash.html
neutral,Pentagon ... Undercover,https://slate.com/news-and-politics/2005/01/pentagon-undercover.html
anger,Outfoxing ... SOX,https://slate.com/business/2005/01/new-strategies-for-corporate-greed-heads.html
surprise,How ... Domain?,https://slate.com/news-and-politics/2005/01/how-much-for-that-domain.html
neutral,Johnny ... Carson,https://slate.com/news-and-politics/2005/01/johnny-carson-s-naughty-genius.html
joy,A ... Improv,https://slate.com/news-and-politics/2005/01/slate-on-day-to-day-for-the-week-of-jan-24.html
neutral,Ahmad ... Star,https://slate.com/news-and-politics/2005/01/what-s-new-the-economist-etc.html
surprise,Running ... Sand?,https://slate.com/news-and-politics/2005/01/is-iran-next.html
fear,Waiting ... Day,https://slate.com/news-and-politics/2005/01/waiting-for-the-first-bomb-of-the-day.html
fear,What ... Baghdad?,https://slate.com/news-and-politics/2005/01/what-is-the-point-of-my-being-in-baghdad.html
neutral,"Goodnight, ... Johnny",https://slate.com/news-and-politics/2005/01/goodnight-johnny.html
neutral,Where ... Then?,https://slate.com/news-and-politics/2005/01/culling-old-posts-from-iraq-s-progress-fray.html
neutral,The ... Tomorrow,https://slate.com/news-and-politics/2005/01/the-sunni-will-come-out-tomorrow.html
neutral,As ... Neocon,https://slate.com/news-and-politics/2005/01/neocons-who-drive-priuses.html
neutral,This ... For,https://slate.com/news-and-politics/2005/01/this-week-the-question-is-will-people-vote-not-who-will-they-vote-for.html
anger,Unpardonable ... Interruptions,https://slate.com/culture/2005/01/how-television-killed-the-newspaper-sports-column.html
neutral,“Possibility: ... Assay”,https://slate.com/culture/2005/01/possibility-an-assay.html
neutral,Brain ... Sale,https://slate.com/technology/2005/01/brain-scans-for-sale.html
neutral,Ahmad ... Again,https://slate.com/news-and-politics/2005/01/chalabi-s-return-and-other-good-news-from-iraq.html
anger,My ... Sharansky,https://slate.com/news-and-politics/2005/01/my-sharansky.html
neutral,"Safe, ... Never",https://slate.com/technology/2005/01/hillary-clinton-s-anti-abortion-strategy.html
disgust,Hole-y ... Cow!,https://slate.com/news-and-politics/2005/01/hole-y-cow.html
neutral,The ... Boom,https://slate.com/business/2005/01/it-s-a-terrible-time-to-be-a-chicken.html
neutral,Blog ... Overkill,https://slate.com/news-and-politics/2005/01/blog-overkill.html
neutral,Can ... Along?,https://slate.com/news-and-politics/2005/01/can-100000-lefties-get-along.html
neutral,Is ... Safe?,https://slate.com/news-and-politics/2005/01/is-it-all-about-feeling-safe.html
joy,Beating ... Baby,https://slate.com/news-and-politics/2005/01/beating-up-million-dollar-baby.html
neutral,Disaster ... Porn,https://slate.com/news-and-politics/2005/01/disaster-porn.html
neutral,Nutty ... Nino,https://slate.com/news-and-politics/2005/01/nutty-for-nino.html
neutral,Amber ... Frey,https://slate.com/news-and-politics/2005/01/amber-frey-mistress-america.html
neutral,Thanks ... Memories,https://slate.com/news-and-politics/2005/01/thanks-for-the-repressed-memories.html
fear,Can ... You?,https://slate.com/news-and-politics/2005/01/can-mouse-poison-kill-you.html
neutral,The ... Point,https://slate.com/news-and-politics/2005/01/the-process-is-the-point.html
disgust,Does ... Fat?,https://slate.com/news-and-politics/2005/01/do-fast-food-lawsuits-stand-a-chance.html
neutral,“Baghdad ... Control”,https://slate.com/news-and-politics/2005/01/baghdad-is-not-under-control.html
fear,Can ... Detector?,https://slate.com/human-interest/2005/01/can-i-beat-a-lie-detector.html
surprise,No ... You?,https://slate.com/human-interest/2005/01/no-thank-you.html
neutral,Where’s ... Wu?,https://slate.com/culture/2005/01/is-there-easy-money-in-china.html
sadness,Oughtta ... Pictures,https://slate.com/technology/2005/01/why-video-games-shouldn-t-be-like-the-movies.html
neutral,Lived ... Stones,https://slate.com/culture/2005/01/how-philip-johnson-lost-his-way.html
neutral,Don’t ... Yet,https://slate.com/news-and-politics/2005/01/don-t-let-larry-summers-off-the-hook-yet.html
neutral,"Yes, ... Along",https://slate.com/news-and-politics/2005/01/yes-we-can-all-get-along.html
neutral,He’s ... Man”,https://slate.com/business/2005/01/the-bushies-war-on-fdr.html
neutral,How ... Philippines,https://slate.com/news-and-politics/2005/01/how-islam-got-to-the-philippines.html
neutral,Spies ... U.S.,https://slate.com/news-and-politics/2005/01/spies-like-u-s.html
neutral,The ... Delusion,https://slate.com/news-and-politics/2005/01/hernando-de-soto-s-mistakes.html
neutral,How ... Music,https://slate.com/news-and-politics/2005/01/how-to-play-music-like-a-child.html
neutral,Ballots ... Baghdad,https://slate.com/news-and-politics/2005/01/ballots-in-baghdad.html
fear,Election ... Najaf,https://slate.com/news-and-politics/2005/01/election-week-in-iraq-election-day-in-najaf.html
surprise,Birth ... Nation?,https://slate.com/news-and-politics/2005/01/something-big-happened-in-iraq-jan-30.html
joy,The ... Bohemian,https://slate.com/human-interest/2005/01/the-arrival-of-a-bohemian.html
neutral,"Iraq, ... Vote",https://slate.com/news-and-politics/2005/01/iraq-the-vote.html
neutral,The ... Sontag,https://slate.com/culture/2005/01/sontag-s-superb-short-stories.html
neutral,Changing ... Time,https://slate.com/news-and-politics/2005/01/dispatches-from-the-antidavos-changing-the-world-one-cause-at-a-time.html
disgust,Beating ... Parrot,https://slate.com/news-and-politics/2005/01/why-iraq-and-vietnam-have-nothing-whatsoever-in-common.html
neutral,"Objectivism, ... Subjectively",https://slate.com/news-and-politics/2005/01/what-s-new-in-reason-etc.html
neutral,Millions ... Served,https://slate.com/news-and-politics/2005/01/millions-served.html
neutral,Best ... Fray,https://slate.com/news-and-politics/2005/01/best-of-the-fray.html
surprise,Look ... Hawking,https://slate.com/business/2005/01/quiznos-and-the-talking-man-baby.html
neutral,"Together, ... Again",https://slate.com/news-and-politics/2005/02/together-again-miller-and-chalabi.html
neutral,“Suspension ... Bridge”,https://slate.com/culture/2005/02/suspension-bridge.html
neutral,An ... Bohemian,https://slate.com/human-interest/2005/02/an-old-bohemian.html
sadness,Not ... Movies,https://slate.com/news-and-politics/2005/02/slate-on-day-to-day-for-the-week-of-jan-31.html
neutral,Are ... Kids?,https://slate.com/human-interest/2005/02/new-research-on-pretend-friends.html
sadness,Too ... Fail,https://slate.com/technology/2005/02/too-dumb-to-fail.html
neutral,The ... Energy,https://slate.com/news-and-politics/2005/02/the-art-of-energy.html
neutral,Hack ... Job,https://slate.com/news-and-politics/2005/02/hack-job.html
neutral,What ... Syndrome?,https://slate.com/news-and-politics/2005/02/what-is-death-row-syndrome.html
neutral,Supreme ... Chickens?,https://slate.com/news-and-politics/2005/02/supreme-chickens.html
neutral,Wait-y ... Days,https://slate.com/news-and-politics/2005/02/wait-y-days.html
neutral,The ... 2,https://slate.com/news-and-politics/2005/02/the-wristband-gap-part-2.html
neutral,Is ... Religion?,https://slate.com/news-and-politics/2005/02/is-france-getting-religion.html
disgust,Raphael’s ... Woman,https://slate.com/culture/2005/02/raphael-s-other-woman.html
neutral,Who’s ... Daddy?,https://slate.com/culture/2005/02/the-strangest-compliment-in-football.html
joy,"Gee, ... Fun!",https://slate.com/business/2005/02/what-if-banking-were-fun.html
neutral,James ... Cameron,https://slate.com/news-and-politics/2005/02/james-cameron-will-he-resurface.html
neutral,“Sosul ... Security”,https://slate.com/news-and-politics/2005/02/sosul-security.html
fear,Walking ... Walking,https://slate.com/human-interest/2005/02/walking.html
neutral,Sweets ... Sweetie,https://slate.com/human-interest/2005/02/how-to-score-the-best-gourmet-chocolate-online.html
neutral,Dean’s ... List,https://slate.com/news-and-politics/2005/02/dean-s-list.html
neutral,National ... Men,https://slate.com/news-and-politics/2005/02/national-security-s-hard-men.html
neutral,S.S. ... B.S.,https://slate.com/news-and-politics/2005/02/s-s-s-o-s-b-s.html
neutral,Reading ... York,https://slate.com/human-interest/2005/02/reading-new-york.html
disgust,The ... President,https://slate.com/news-and-politics/2005/02/the-propaganda-president.html
neutral,Portable ... Snobs,https://slate.com/culture/2005/02/make-your-ipod-an-audiophile-s-dream.html
disgust,Caged ... Guanxi,https://slate.com/culture/2005/02/what-slate-readers-know-about-china.html
neutral,Bush ... Yourselves!,https://slate.com/news-and-politics/2005/02/bush-to-geezers-save-yourselves.html
neutral,Tangled ... Purple,https://slate.com/news-and-politics/2005/02/tangled-up-in-purple.html
neutral,Steady ... Leadership,https://slate.com/news-and-politics/2005/02/president-bush-s-cognitive-dissonance.html
neutral,Too ... Information,https://slate.com/human-interest/2005/02/too-much-information.html
sadness,Bleeding ... Hearts,https://slate.com/culture/2005/02/head-on-two-bleeding-hearts.html
neutral,Leaving ... York,https://slate.com/human-interest/2005/02/bohemian-new-york-leaving-new-york.html
neutral,Clerical ... Era?,https://slate.com/news-and-politics/2005/02/clerical-era.html
sadness,My ... Movie,https://slate.com/news-and-politics/2005/02/my-big-fat-lousy-wedding-movie.html
sadness,Never ... Goodbye,https://slate.com/news-and-politics/2005/02/never-can-say-goodbye.html
neutral,The ... Thing,https://slate.com/culture/2005/02/hewlett-packard-s-nanochip-is-so-2015.html
anger,Go ... Long!,https://slate.com/business/2005/02/bring-back-the-30-year-bond.html
neutral,Shiite ... Might,https://slate.com/news-and-politics/2005/02/shiite-might.html
surprise,Imagineering ... Town,https://slate.com/news-and-politics/2005/02/slate-on-day-to-day-for-the-week-of-feb-7.html
neutral,Rice-Sharoni ... Rice-Sharoni,https://slate.com/news-and-politics/2005/02/rice-sharoni.html
fear,A ... Security,https://slate.com/news-and-politics/2005/02/a-dangerous-loophole-in-airport-security.html
neutral,The ... Sports,https://slate.com/culture/2005/02/the-patriots-win-again.html
neutral,Fashion ... FAQ,https://slate.com/culture/2005/02/fashion-week-your-nagging-questions-answered.html
neutral,To ... Be,https://slate.com/news-and-politics/2005/02/i-m-not-chalabi.html
neutral,Enough ... Around,https://slate.com/news-and-politics/2005/02/what-s-new-in-the-weekly-standard-etc.html
neutral,Stephen ... Toady,https://slate.com/culture/2005/02/stephen-spender-s-facile-politics.html
joy,Super ... Special!,https://slate.com/business/2005/02/the-super-bowl-special.html
fear,Don’t ... Truce,https://slate.com/news-and-politics/2005/02/don-t-let-me-down-truce.html
disgust,Super ... Suckers,https://slate.com/news-and-politics/2005/02/super-bowl-suckers.html
neutral,“The ... Vise”,https://slate.com/culture/2005/02/the-vise.html
neutral,Rummy’s ... Secret,https://slate.com/news-and-politics/2005/02/how-rummy-hid-40-billion.html
joy,Crazy ... Die,https://slate.com/news-and-politics/2005/02/crazy-to-die.html
neutral,Don ... Reporter?,https://slate.com/news-and-politics/2005/02/don-cheadle-cub-reporter.html
neutral,All ... Human,https://slate.com/technology/2005/02/all-too-human.html
neutral,The ... Papers,https://slate.com/news-and-politics/2005/02/woodward-and-bernstein-s-legacy.html
neutral,The ... Man,https://slate.com/news-and-politics/2005/02/a-close-shave-for-the-gillette-man.html
neutral,Why ... Movable,https://slate.com/news-and-politics/2005/02/why-some-feasts-are-moveable.html
neutral,A ... Deal,https://slate.com/news-and-politics/2005/02/a-nu-deal.html
neutral,Now ... Terrorists,https://slate.com/news-and-politics/2005/02/fraysters-scrutinize-security-at-the-nation-s-airports.html
